moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
레미제라블,2012-12-19,19635813500,2707479,592,49348,abroad,1,2707479,drama,4,3,PG 15,0,12
맘마미아!2,2018-08-08,19607520003,2293884,750,59060,abroad,1,2293884,etc,1,3,PG 12,1,8
마이펫의 이중생활,2016-08-03,19406436655,2520670,726,39653,abroad,1,1311466,animation,6,3,G_rated,2,8
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709,95669,abroad,1,1631960,action,2,3,PG 12,1,3
알리타: 배틀 엔젤,2019-02-05,18571455667,1952063,1043,52666,abroad,1,1952063,action,2,3,PG 12,1,2
테넷,2020-08-26,18396929850,1992214,2228,164758,abroad,1,3583005,action,2,3,PG 12,1,8
로건,2017-03-01,18391060223,2169109,954,68709,abroad,1,2169109,comedy,0,3,PG 12,1,3
모아나,2017-01-12,18056417307,2310206,953,53162,abroad,1,2310206,animation,6,3,G_rated,2,1
007 스카이폴,2012-10-26,17487213000,2376145,748,51357,abroad,1,1691307,action,2,3,PG 15,0,10
원더 우먼,2017-05-31,17468588886,2165401,1034,57818,abroad,1,1278193,action,2,3,PG 12,1,5
겟 아웃,2017-05-17,17431830075,2138174,945,56530,abroad,1,2138174,action,2,2,X_rated,3,5
맨 오브 스틸,2013-06-13,17092964063,2182227,998,55514,abroad,1,1631960,action,2,3,PG 12,1,6
해리 포터와 죽음의 성물1,2010-12-15,16974636000,2396988,717,40463,abroad,1,2946451,action,2,3,G_rated,2,12
호빗: 스마우그의 폐허,2013-12-12,16564184549,2115878,811,35223,abroad,1,1682629,fantasy,3,3,PG 12,1,12
배틀쉽,2012-04-11,16545921500,2241687,736,53109,abroad,1,2241687,action,2,3,PG 12,1,4
루시,2014-09-03,16468076039,1974893,641,44585,abroad,1,1974893,sf,7,2,PG 15,0,9
컨저링,2013-09-17,16353225777,2262758,563,48616,abroad,1,2262758,fear,12,3,PG 15,0,9
인투 더 스톰,2014-08-28,16157166332,2078698,585,45899,abroad,1,1167945,action,2,3,PG 12,1,8
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,abroad,1,1898220,action,2,3,X_rated,3,8
컨저링 2,2016-06-09,15759374229,1928605,640,45816,abroad,1,1825151,fear,12,3,PG 15,0,6
애나벨 : 인형의 주인,2017-08-10,15527492238,1934270,1006,35103,abroad,1,1234282,fear,12,3,PG 15,0,8
저스티스 리그,2017-11-15,14629677795,1786383,1308,73390,abroad,1,1631960,action,2,3,PG 12,1,11
