moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
다크 나이트 라이즈,2012.7.19,47644838000.0,6396528.0,1210.0,81254.0,1,워너브러더스 코리아(주),크리스토퍼 놀란,2,3,2
앤트맨과 와스프,2018.7.4,47468053685.0,5448134.0,1775.0,148244.0,1,월트디즈니컴퍼니코리아 유한책임회사,페이튼 리드,2,3,1
신과함께-죄와 벌,2017.12.20,47355583705.0,5872007.0,1644.0,121961.0,0,롯데쇼핑㈜롯데엔터테인먼트,김용화,3,3,1
아저씨,2010.8.4,47101332000.0,6178248.0,501.0,109853.0,0,CJ ENM,이정범,2,2,3
늑대소년,2012.10.31,46590107000.0,6654390.0,854.0,109069.0,0,(주)씨제이이엔엠,조성희,11,2,2
안시성,2018.9.19,46335334026.0,5440186.0,1540.0,110439.0,0,(주)넥스트엔터테인먼트월드(NEW),김광식,2,3,1
블랙 팬서,2018.2.14,45885123957.0,5399227.0,1620.0,119170.0,1,월트디즈니컴퍼니코리아 유한책임회사,라이언 쿠글러,2,1,1
연평해전,2015.6.24,45563228330.0,6043784.0,1013.0,114450.0,0,(주)넥스트엔터테인먼트월드(NEW),김학순,4,3,1
조커,2019.10.2,45381075450.0,5247874.0,1418.0,147380.0,1,워너브러더스 코리아(주),토드 필립스,12,1,2
덕혜옹주,2016.8.3,44393828109.0,5599229.0,964.0,97312.0,0,롯데쇼핑㈜롯데엔터테인먼트,허진호,13,2,1
청년경찰,2017.8.9,44381150516.0,5653270.0,1102.0,118544.0,0,롯데쇼핑㈜롯데엔터테인먼트,김주환,2,2,2
완벽한 타인,2018.10.31,44350807074.0,5293435.0,1325.0,143055.0,0,롯데컬처웍스(주)롯데엔터테인먼트,이재규,4,3,2
쿵푸팬더 2,2011.5.26,44298708500.0,5062720.0,948.0,101338.0,1,(주)씨제이이엔엠,여인영,6,6,0
트랜스포머: 사라진 시대,2014.6.25,44012752845.0,5295836.0,1602.0,107875.0,1,(주)씨제이이엔엠,마이클 베이,7,3,1
더 킹,2017.1.18,43488814535.0,5317693.0,1310.0,107983.0,0,(주)넥스트엔터테인먼트월드(NEW),미하 로사,10,2,2
독전,2018.5.22,43485551113.0,5063684.0,1532.0,140007.0,0,(주)넥스트엔터테인먼트월드(NEW),이해영,5,3,2
1987,2017.12.27,42915772108.0,5290310.0,1122.0,110607.0,0,(주)씨제이이엔엠,장준환,4,3,2
공작,2018.8.8,42788851176.0,4974520.0,1317.0,99001.0,0,(주)씨제이이엔엠,장이머우,5,3,2
검은 사제들,2015.11.5,42405282092.0,5442128.0,1109.0,131155.0,0,(주)씨제이이엔엠,돈 E. 폰트르로이,14,2,2
변호인,2013.12.18,41918383800.0,5687571.0,925.0,97261.0,0,(주)넥스트엔터테인먼트월드(NEW),양우석,4,3,2
라이온 킹,2019.7.17,41519457430.0,4743264.0,1936.0,126496.0,1,월트디즈니컴퍼니코리아 유한책임회사,존 파브로,8,3,0
남산의 부장들,2020.1.22,41225216650.0,4750345.0,1659.0,140051.0,0,(주)쇼박스,우민호,4,3,2
어메이징 스파이더맨,2012.6.28,41163951235.0,4853123.0,1118.0,92755.0,1,한국소니픽쳐스릴리징브에나비스타영화㈜,마크 웹,2,2,1
킹스맨: 골든 서클,2017.9.27,40987484736.0,4945484.0,1687.0,95922.0,1,이십세기폭스코리아(주),매튜 본,2,3,3
봉오동 전투,2019.8.7,40588648538.0,4787538.0,1476.0,107030.0,0,(주)쇼박스,원신연,2,3,2
의형제,2010.2.4,40153729000.0,5416812.0,569.0,118243.0,0,(주)쇼박스,장훈,2,2,2
마스터,2016.12.21,39784641065.0,4935320.0,1501.0,70786.0,0,(주)씨제이이엔엠,자레드 헤스,0,3,2
마션,2015.10.8,39663145295.0,4880800.0,1132.0,114183.0,1,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",해스래프 둘룰,7,1,1
숨바꼭질,2013.8.14,39602977500.0,5604103.0,779.0,88062.0,0,(주)넥스트엔터테인먼트월드(NEW),브릿 네이피어,12,3,3
나쁜 녀석들: 더 무비,2019.9.11,39560195124.0,4573902.0,1511.0,113938.0,0,(주)씨제이이엔엠,손용호,5,3,2
히말라야,2015.12.16,39469775448.0,5129409.0,1095.0,81042.0,0,(주)씨제이이엔엠,이석훈,4,2,1
감시자들,2013.7.3,39380162179.0,5508017.0,949.0,100309.0,0,(주)넥스트엔터테인먼트월드(NEW),조의석,5,3,2
신비한 동물사전,2016.11.16,39300515858.0,4662534.0,1431.0,115676.0,1,워너브러더스 코리아(주),데이빗 예이츠,3,3,1
토르: 라그나로크,2017.10.25,39227691395.0,4853778.0,1640.0,137423.0,1,월트디즈니컴퍼니코리아 유한책임회사,타이카 와이티티,2,3,1
엣지 오브 투모로우,2014.6.4,38732961201.0,4699307.0,801.0,94559.0,1,워너브러더스 코리아(주),더그 라이만,2,3,1
다만 악에서 구하소서,2020.8.5,38602260990.0,4357803.0,1998.0,193842.0,0,(주)씨제이이엔엠,홍원찬,5,3,2
월드 워 Z,2013.6.20,38555356000.0,5237525.0,964.0,100823.0,1,롯데쇼핑㈜롯데엔터테인먼트,마크 포스터,4,2,2
완득이,2011.10.20,38526161500.0,5309928.0,629.0,117763.0,0,(주)씨제이이엔엠,이한,4,2,1
인사이드 아웃,2015.7.9,38024694936.0,4969735.0,931.0,84000.0,1,월트디즈니컴퍼니코리아(주),피트 닥터,6,3,0
주토피아,2016.2.17,37096057742.0,4706158.0,735.0,131005.0,1,월트디즈니컴퍼니코리아(주),바이론 하워드,6,3,0
군도: 민란의 시대,2014.7.23,36988022499.0,4774931.0,1394.0,67237.0,0,(주)쇼박스,윤종빈,2,2,2
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,36538823500.0,4719872.0,713.0,91889.0,0,(주)쇼박스,윤종빈,5,2,3
조선명탐정 : 각시투구꽃의 비밀,2011.1.27,35841769500.0,4786259.0,634.0,84189.0,0,(주)쇼박스,김석윤,0,3,1
도가니,2011.9.22,35566854800.0,4662822.0,756.0,88337.0,0,(주)씨제이이엔엠,황동혁,4,2,3
아가씨,2016.6.1,35211229991.0,4287839.0,1171.0,90365.0,0,(주)씨제이이엔엠,박찬욱,12,3,3
신세계,2013.2.21,34881330905.0,4682492.0,671.0,90580.0,0,(주)넥스트엔터테인먼트월드(NEW),박훈정,5,3,3
어메이징 스파이더맨 2,2014.4.23,34869101800.0,4168353.0,1312.0,91715.0,1,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),마크 웹,2,2,1
엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,34654558766.0,4313871.0,1056.0,82722.0,1,이십세기폭스코리아(주),브라이언 싱어,7,3,1
바람과 함께 사라지다,2012.8.8,34614661161.0,4909937.0,694.0,78591.0,0,(주)넥스트엔터테인먼트월드(NEW),김주호,0,3,1
해리포터와 죽음의 성물2,2011.7.13,34507600000.0,4400270.0,757.0,70380.0,1,워너브러더스 코리아(주),데이빗 예이츠,8,3,0
내 아내의 모든 것,2012.5.17,34223620500.0,4598821.0,563.0,91773.0,0,(주)넥스트엔터테인먼트월드(NEW),민규동,11,3,2
데드풀 2,2018.5.16,34185664639.0,3784602.0,1576.0,113288.0,1,이십세기폭스코리아(주),데이빗 레이치,7,3,1
베놈,2018.10.3,34100211207.0,3888096.0,1308.0,116149.0,1,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,앤디 서키스,2,2,2
판도라,2016.12.7,33955398164.0,4313864.0,1184.0,90758.0,0,(주)넥스트엔터테인먼트월드(NEW),박정우,4,3,1
반도,2020.7.15,33072531280.0,3812250.0,2575.0,199048.0,0,(주)넥스트엔터테인먼트월드(NEW),연상호,2,2,2
암수살인,2018.10.3,32995138548.0,3789321.0,1177.0,126127.0,0,(주)쇼박스,김태균,5,2,2
매드 맥스: 분노의 도로,2015.5.14,32912842162.0,3843343.0,799.0,98824.0,1,워너브러더스 코리아(주),조지 밀러,2,3,2
아이언맨 2,2010.4.29,32635195500.0,4425003.0,921.0,87665.0,1,CJ ENM,존 파브로,7,3,1
타짜-신의 손,2014.9.3,32373120927.0,4015361.0,890.0,80584.0,0,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",강형철,4,3,3
분노의 질주: 홉스&쇼,2019.8.14,32241767793.0,3657536.0,1311.0,94896.0,1,유니버설픽쳐스인터내셔널 코리아(유),데이빗 레이치,2,3,1
연가시,2012.7.5,32175400664.0,4515833.0,759.0,71928.0,0,(주)씨제이이엔엠,박정우,4,3,2
캡틴 아메리카: 윈터 솔져,2014.3.26,31711040385.0,3963251.0,1106.0,110109.0,1,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),조 루소,2,3,2
혹성탈출: 반격의 서막,2014.7.10,31514053095.0,4002560.0,956.0,72881.0,1,이십세기폭스코리아(주),맷 리브스,2,3,1
쿵푸팬더3,2016.1.28,31340798156.0,3984812.0,1365.0,97404.0,1,(주)씨제이이엔엠,여인영,6,3,0
꾼,2017.11.22,31312029795.0,4018035.0,1314.0,117398.0,0,(주)쇼박스,장창원,5,3,2
남한산성,2017.10.3,31225083792.0,3849087.0,1229.0,71101.0,0,(주)씨제이이엔엠,황동혁,4,3,2
그래비티,2013.10.17,31214018600.0,3194693.0,636.0,80584.0,1,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",알폰소 쿠아론,7,2,1
국가부도의 날,2018.11.28,30845862137.0,3747952.0,1180.0,100804.0,0,(주)씨제이이엔엠,최국희,4,3,1
미이라,2017.6.6,30504689978.0,3689325.0,1257.0,105228.0,1,유니버설픽쳐스인터내셔널 코리아(유),저스틴 프라이스,2,2,1
조선명탐정 : 사라진 놉의 딸,2015.2.11,30456879428.0,3872015.0,825.0,80499.0,0,(주)쇼박스,김석윤,0,3,1
82년생 김지영,2019.10.23,30298542310.0,3678156.0,1486.0,145441.0,0,롯데컬처웍스(주)롯데엔터테인먼트,김도영,4,2,1
건축학개론,2012.3.22,30222696000.0,4111068.0,593.0,106067.0,0,롯데쇼핑㈜롯데엔터테인먼트,이용주,11,3,1
댄싱퀸,2012.1.18,30130775500.0,4058225.0,544.0,80987.0,0,(주)씨제이이엔엠,이석훈,0,2,1
분노의 질주: 더 익스트림,2017.4.12,29981156348.0,3653238.0,1469.0,113241.0,1,유니버설픽쳐스인터내셔널 코리아(유),F. 게리 그레이,2,3,2
역린,2014.4.30,29894266890.0,3849552.0,1054.0,83296.0,0,롯데쇼핑㈜롯데엔터테인먼트,이재규,4,3,2
너의 이름은.,2017.1.4,29251793156.0,3637608.0,947.0,82978.0,1,메가박스중앙(주)플러스엠,신카이 마코토,6,2,1
악인전,2019.5.15,29133760150.0,3364712.0,1307.0,97351.0,0,"(주)에이스메이커무비웍스,(주)키위미디어그룹",이원태,5,3,3
돈,2019.3.20,28870244062.0,3389125.0,1431.0,120809.0,0,(주)쇼박스,아담 맥케이,0,3,2
신의 한 수,2014.7.3,28812027456.0,3566852.0,794.0,77109.0,0,(주)쇼박스,리건,5,3,2
토이 스토리 4,2019.6.20,28758452040.0,3400034.0,1336.0,85875.0,1,월트디즈니컴퍼니코리아 유한책임회사,조시 쿨리,6,3,0
인턴,2015.9.24,28517727148.0,3610564.0,659.0,81552.0,1,워너브러더스 코리아(주),낸시 마이어스,0,2,1
박수건달,2013.1.9,28343986569.0,3893216.0,603.0,60585.0,0,(주)쇼박스,조진규,0,3,2
코코,2018.1.11,27685479440.0,3510017.0,1177.0,85925.0,1,월트디즈니컴퍼니코리아 유한책임회사,리 언크리치,6,3,0
데드풀,2016.2.17,27595618651.0,3317196.0,1036.0,82521.0,1,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",데이빗 레이치,7,3,1
그것만이 내 세상,2018.1.17,27450805382.0,3419339.0,956.0,95431.0,0,(주)씨제이이엔엠,최성현,0,3,1
맨 인 블랙 3,2012.5.24,27301520070.0,3379762.0,770.0,69538.0,1,한국소니픽쳐스릴리징브에나비스타영화㈜,베리 소넨필드,2,3,1
캐리비안의 해적: 낯선 조류,2011.5.19,27279967500.0,3130046.0,960.0,67036.0,1,한국소니픽쳐스릴리징브에나비스타영화㈜,롭 마샬,3,3,1
귀향,2016.2.24,27249738990.0,3587173.0,876.0,90286.0,0,(주)와우픽쳐스,조정래,4,3,2
마녀,2018.6.27,27242029463.0,3189091.0,1117.0,90843.0,0,워너브러더스 코리아(주),박훈정,9,3,2
비긴 어게인,2014.8.13,27098834504.0,3427524.0,525.0,82684.0,1,판씨네마(주),존 카니,4,3,2
드래곤 길들이기,2010.5.20,27040606000.0,2562412.0,563.0,57264.0,1,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM",딘 데블로이스,6,3,0
끝까지 간다,2014.5.29,27007303900.0,3450305.0,645.0,84875.0,0,(주)쇼박스,김성훈,5,2,2
탐정: 리턴즈,2018.6.13,26909459678.0,3152872.0,1137.0,107907.0,0,(주)씨제이이엔엠,이언희,0,3,2
리얼 스틸,2011.10.12,26566677000.0,3579666.0,603.0,87650.0,1,한국소니픽쳐스릴리징브에나비스타영화㈜,숀 레비,2,3,1
터미네이터 제니시스,2015.7.2,26556715129.0,3240370.0,1113.0,77590.0,1,롯데쇼핑㈜롯데엔터테인먼트,앨런 테일러,2,3,2
분노의 질주: 더 세븐,2015.4.1,26454098694.0,3247955.0,983.0,93612.0,1,유니버설픽쳐스인터내셔널 코리아(유),제임스 완,2,3,2
전우치,2009.12.23,26345113000.0,3611472.0,556.0,73175.0,0,CJ ENM,강일수,4,3,2
부러진 화살,2012.1.18,25878629500.0,3451025.0,530.0,71560.0,0,(주)넥스트엔터테인먼트월드(NEW),정지영,4,3,2
아이 캔 스피크,2017.9.21,25526451186.0,3279296.0,1140.0,93012.0,0,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",김현석,4,2,1
이끼,2010.7.14,25437300500.0,3350303.0,740.0,58198.0,0,CJ ENM,강우석,4,4,3
서치,2018.8.29,25283364845.0,2949944.0,1097.0,95758.0,1,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,곽정,12,3,2
나우 유 씨 미 2,2016.7.13,25116690113.0,3100113.0,1200.0,56981.0,1,롯데쇼핑㈜롯데엔터테인먼트,존 추,5,3,1
캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,24975495122.0,3049894.0,1357.0,85225.0,1,월트디즈니컴퍼니코리아 유한책임회사,요아킴 뢰닝,2,3,1
가장 보통의 연애,2019.10.2,24885803430.0,2924563.0,1073.0,111527.0,0,(주)넥스트엔터테인먼트월드(NEW),김한결,11,2,2
인크레더블 2,2018.7.18,24554683588.0,3033052.0,1605.0,70934.0,1,월트디즈니컴퍼니코리아 유한책임회사,브래드 버드,6,3,0
덩케르크,2017.7.20,24550541348.0,2788732.0,1252.0,65906.0,1,워너브러더스 코리아(주),크리스토퍼 놀란,2,3,1
엑스맨: 아포칼립스,2016.5.25,24467887950.0,2938818.0,1262.0,66471.0,1,이십세기폭스코리아(주),브라이언 싱어,2,3,1
슈퍼배드 3,2017.7.26,24217091019.0,3324874.0,1057.0,59388.0,1,유니버설픽쳐스인터내셔널 코리아(유),카일 발다,6,3,0
스타워즈: 깨어난 포스,2015.12.17,24149478540.0,2803234.0,940.0,56425.0,1,월트디즈니컴퍼니코리아(주),J.J. 에이브럼스,2,3,1
드래곤 길들이기 2,2014.7.23,23979935189.0,3000056.0,829.0,51924.0,1,(주)씨제이이엔엠,딘 데블로이스,6,3,0
포화속으로,2010.6.16,23831958600.0,3330324.0,742.0,80091.0,0,롯데쇼핑㈜롯데엔터테인먼트,이재한,10,6,1
프리즌,2017.3.23,23790276987.0,2931897.0,1047.0,89024.0,0,(주)쇼박스,다비드 알바라,8,3,2
말모이,2019.1.9,23685091520.0,2812877.0,1203.0,87591.0,0,롯데컬처웍스(주)롯데엔터테인먼트,엄유나,4,2,1
너의 결혼식,2018.8.22,23676244369.0,2820969.0,970.0,98193.0,0,메가박스중앙(주)플러스엠,이석근,11,2,1
스물,2015.3.25,23563421686.0,3044811.0,926.0,100161.0,0,(주)넥스트엔터테인먼트월드(NEW),이병헌,0,3,2
앤트맨,2015.9.3,23529209937.0,2841795.0,949.0,74649.0,1,월트디즈니컴퍼니코리아(주),페이튼 리드,2,3,1
가디언즈 오브 갤럭시 VOL. 2,2017.5.3,23452686686.0,2735721.0,1218.0,63789.0,1,월트디즈니컴퍼니코리아 유한책임회사,제임스 건,2,3,1
타워,2012.12.25,22996601500.0,3166425.0,638.0,58869.0,0,(주)씨제이이엔엠,제임스 넌,12,3,3
퀵,2011.7.20,22960890000.0,3125069.0,514.0,60714.0,0,(주)씨제이이엔엠,조범구,2,3,2
슈렉 포에버,2010.7.1,22809145100.0,2223851.0,561.0,51317.0,1,CJ ENM,마이크 미첼,6,3,0
토르: 다크 월드,2013.10.30,22525808500.0,3039889.0,733.0,78095.0,1,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),앨런 테일러,2,3,1
방자전,2010.6.2,22490024000.0,2985483.0,495.0,67562.0,0,CJ ENM,김대우,4,3,3
극비수사,2015.6.18,22389535897.0,2860786.0,894.0,66211.0,0,(주)쇼박스,곽경택,4,2,2
표적,2014.4.30,22256769300.0,2841828.0,716.0,72255.0,0,(주)씨제이이엔엠,창감독,2,3,2
빅 히어로,2015.1.21,21993119765.0,2801949.0,825.0,62229.0,1,월트디즈니컴퍼니코리아(주),돈 홀,6,3,0
고지전,2011.7.20,21968557600.0,2945137.0,585.0,53738.0,0,(주)쇼박스,장훈,10,3,2
미스 페레그린과 이상한 아이들의 집,2016.9.28,21841214586.0,2718158.0,904.0,70451.0,1,이십세기폭스코리아(주),팀 버튼,3,3,1
타이탄,2010.4.1,21796996500.0,2642483.0,694.0,87911.0,1,워너브러더스 코리아(주),제임스 카메론,11,2,2
친구 2,2013.11.14,21795237513.0,2969900.0,968.0,69856.0,0,롯데쇼핑㈜롯데엔터테인먼트,곽경택,15,3,3
감기,2013.8.14,21774884000.0,3117859.0,806.0,55046.0,0,아이러브시네마,김성수,4,3,2
목격자,2018.8.15,21737061097.0,2524720.0,1021.0,71403.0,0,(주)넥스트엔터테인먼트월드(NEW),로버트 로워스,12,3,3
호빗: 뜻밖의 여정,2012.12.13,21724069066.0,2605124.0,1028.0,44977.0,1,워너브러더스 코리아(주),피터 잭슨,3,3,1
하모니,2010.1.28,21641750000.0,3018131.0,384.0,77723.0,0,CJ ENM,강대규,4,3,1
메이즈 러너: 스코치 트라이얼,2015.9.16,21596946349.0,2744413.0,804.0,58725.0,1,이십세기폭스코리아(주),웨스 볼,2,3,1
정글북,2016.6.9,21517647134.0,2537438.0,924.0,59041.0,1,월트디즈니컴퍼니코리아(주),막심 파디브,6,2,0
레드: 더 레전드,2013.7.18,21511371970.0,3004649.0,739.0,55733.0,1,롯데쇼핑㈜롯데엔터테인먼트,딘 패리소트,2,3,2
트랜스포머: 최후의 기사,2017.6.21,21501959228.0,2614601.0,1739.0,87234.0,1,롯데쇼핑㈜롯데엔터테인먼트,마이클 베이,2,3,1
메이즈 러너,2014.9.18,21489367677.0,2812427.0,655.0,71048.0,1,이십세기폭스코리아(주),웨스 볼,2,3,1
곤지암,2018.3.28,21442194144.0,2675575.0,1124.0,88477.0,0,(주)쇼박스,정범식,14,3,2
살인자의 기억법,2017.9.6,21375287492.0,2658589.0,1064.0,88686.0,0,(주)쇼박스,원신연,5,3,2
솔트,2010.7.29,21360288000.0,2869938.0,556.0,53679.0,1,한국소니픽쳐스릴리징브에나비스타영화㈜,필립 노이스,2,1,2
제이슨 본,2016.7.27,21253434663.0,2611966.0,827.0,39806.0,1,유니버설픽쳐스인터내셔널 코리아(유),폴 그린그래스,2,3,2
26년,2012.11.29,21111878145.0,2940475.0,611.0,50044.0,0,"(주)인벤트스톤,영화사청어람(주)",조근현,2,3,2
부당거래,2010.10.28,20996302500.0,2722996.0,502.0,69703.0,0,CJ ENM,류승완,5,3,3
블랙머니,2019.11.13,20863134010.0,2478964.0,1141.0,77469.0,0,(주)에이스메이커무비웍스,정지영,5,2,1
보안관,2017.5.3,20844488409.0,2588628.0,1091.0,63709.0,0,롯데쇼핑㈜롯데엔터테인먼트,김형주,5,3,2
신비한 동물들과 그린델왈드의 범죄,2018.11.14,20816583118.0,2414062.0,1601.0,76846.0,1,워너브러더스 코리아(주),데이빗 예이츠,8,3,1
지금 만나러 갑니다,2018.3.14,20800916128.0,2602273.0,1191.0,97482.0,0,롯데쇼핑㈜롯데엔터테인먼트,이장훈,11,2,1
도리를 찾아서,2016.7.6,20703899933.0,2601734.0,1091.0,55110.0,1,월트디즈니컴퍼니코리아(주),앤드류 스탠튼,6,3,0
혹성탈출: 진화의 시작,2011.8.17,20629757000.0,2773794.0,514.0,61229.0,1,이십세기폭스코리아(주),루퍼트 와이어트,2,3,1
히트맨,2020.1.22,20614278000.0,2406232.0,1122.0,87782.0,0,롯데컬처웍스(주)롯데엔터테인먼트,최원섭,0,3,2
아수라,2016.9.28,20576226662.0,2594028.0,1278.0,68040.0,0,(주)씨제이이엔엠,윤여창,2,3,3
증인,2019.2.13,20482789331.0,2534748.0,1047.0,89564.0,0,롯데컬처웍스(주)롯데엔터테인먼트,이한,4,2,1
퍼시픽 림,2013.7.11,20477374512.0,2539113.0,1005.0,55655.0,1,워너브러더스 코리아(주),스티븐 S. 드나이트,2,2,2
