moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
써니,2011-05-04,7362657,546,149135,7362657,3,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,54035565100
베를린,2013-01-30,7166290,894,111744,7166290,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,52355568637
캡틴 마블,2019-03-06,5802810,2100,186382,5802810,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51507488723
군함도,2017-07-26,6592151,2027,108775,7576385,3,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50510565168
킹스맨 : 시크릿 에이전트,2015-02-11,6129681,728,139988,4536339,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50369009795
쥬라기 월드: 폴른 킹덤,2018-06-06,5661128,1972,144779,3141916,2,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49770711037
은밀하게 위대하게,2013-06-05,6959083,1341,117461,6959083,3,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48700887413
미션 임파서블: 로그네이션,2015-07-30,6126488,1202,89682,6355701,3,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48547353607
다크 나이트 라이즈,2012-07-19,6396528,1210,81254,3583005,3,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47644838000
앤트맨과 와스프,2018-07-04,5448134,1775,148244,4144964,3,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47468053685
신과함께-죄와 벌,2017-12-20,5872007,1644,121961,6491963,3,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,47355583705
아저씨,2010-08-04,6178248,501,109853,2347992,2,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47101332000
늑대소년,2012-10-31,6654390,854,109069,2833113,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,46590107000
안시성,2018-09-19,5440186,1540,110439,2450084,3,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46335334026
블랙 팬서,2018-02-14,5399227,1620,119170,5399227,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45885123957
연평해전,2015-06-24,6043784,1013,114450,6043784,3,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45563228330
조커,2019-10-02,5247874,1418,147380,5247874,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,45381075450
덕혜옹주,2016-08-03,5599229,964,97312,3317126,2,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44393828109
청년경찰,2017-08-09,5653270,1102,118544,5653270,2,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44381150516
완벽한 타인,2018-10-31,5293435,1325,143055,4571493,3,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,44350807074
쿵푸팬더 2,2011-05-26,5062720,948,101338,4523766,6,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44298708500
트랜스포머: 사라진 시대,2014-06-25,5295836,1602,107875,5231726,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,44012752845
더 킹,2017-01-18,5317693,1310,107983,5317693,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,43488814535
독전,2018-05-22,5063684,1532,140007,2710049,3,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43485551113
1987,2017-12-27,5290310,1122,110607,3842381,3,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42915772108
공작,2018-08-08,4974520,1317,99001,2738003,3,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,42788851176
검은 사제들,2015-11-05,5442128,1109,131155,5442128,2,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42405282092
변호인,2013-12-18,5687571,925,97261,2639183,3,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41918383800
