moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
앤트맨,2015-09-03,23529209937,2841795,949,74649,abroad,1,major_abroad,1,4144964,3,PG 12,1,9
가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,2735721,1218,63789,abroad,1,major_abroad,1,1701053,3,PG 12,1,5
퀵,2011-07-20,22960890000,3125069,514,60714,domestic,0,major_domestic,0,3125069,3,PG 15,0,7
토르: 다크 월드,2013-10-30,22525808500,3039889,733,78095,abroad,1,major_abroad,1,3140129,3,PG 12,1,10
표적,2014-04-30,22256769300,2841828,716,72255,domestic,0,major_domestic,0,1662172,3,PG 15,0,4
메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804,58725,abroad,1,etc_distributor,2,2618857,3,PG 12,1,9
레드: 더 레전드,2013-07-18,21511371970,3004649,739,55733,abroad,1,major_domestic,0,3004649,3,PG 15,0,7
트랜스포머: 최후의 기사,2017-06-21,21501959228,2614601,1739,87234,abroad,1,major_domestic,0,5231726,3,PG 12,1,6
메이즈 러너,2014-09-18,21489367677,2812427,655,71048,abroad,1,etc_distributor,2,2618857,3,PG 12,1,9
솔트,2010-07-29,21360288000,2869938,556,53679,abroad,1,etc_distributor,2,2869938,1,PG 15,0,7
제이슨 본,2016-07-27,21253434663,2611966,827,39806,abroad,1,major_abroad,1,1604184,3,PG 15,0,7
26년,2012-11-29,21111878145,2940475,611,50044,domestic,0,etc_distributor,2,1678389,3,PG 15,0,11
혹성탈출: 진화의 시작,2011-08-17,20629757000,2773794,514,61229,abroad,1,etc_distributor,2,2773794,3,PG 12,1,8
아수라,2016-09-28,20576226662,2594028,1278,68040,domestic,0,major_domestic,0,2594028,3,X_rated,3,9
퍼시픽 림,2013-07-11,20477374512,2539113,1005,55655,abroad,1,major_abroad,1,1808174,2,PG 15,0,7
내가 살인범이다,2012-11-08,20392266000,2729798,547,58409,domestic,0,major_domestic,0,1968939,2,X_rated,3,11
조작된 도시,2017-02-09,20143992587,2515501,1019,62241,domestic,0,major_domestic,0,2515501,3,PG 15,0,2
레디 플레이어 원,2018-03-28,19933108071,2254430,1079,77173,abroad,1,major_abroad,1,1107519,3,PG 12,1,3
미션임파서블:고스트프로토콜,2011-12-15,19536876000,2533735,697,53514,abroad,1,major_domestic,0,1944199,2,PG 15,0,12
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709,95669,abroad,1,major_abroad,1,1631960,3,PG 12,1,3
메이즈 러너: 데스 큐어,2018-01-17,18902873104,2299732,1090,58918,abroad,1,etc_distributor,2,2618857,3,PG 12,1,1
알리타: 배틀 엔젤,2019-02-05,18571455667,1952063,1043,52666,abroad,1,major_abroad,1,1952063,3,PG 12,1,2
스파이,2015-05-21,18417637358,2318748,665,62960,abroad,1,etc_distributor,2,5866190,3,PG 12,1,5
테넷,2020-08-26,18396929850,1992214,2228,164758,abroad,1,major_abroad,1,3583005,3,PG 12,1,8
강남 1970,2015-01-21,17718699499,2192276,841,53304,domestic,0,major_domestic,0,1902415,3,X_rated,3,1
화이: 괴물을 삼킨 아이,2013-10-09,17695412795,2394453,817,59049,domestic,0,major_domestic,0,3842381,3,X_rated,3,10
테이큰 2,2012-09-27,17581098553,2308596,682,51344,abroad,1,etc_distributor,2,1589298,3,X_rated,3,9
007 스카이폴,2012-10-26,17487213000,2376145,748,51357,abroad,1,major_abroad,1,1691307,3,PG 15,0,10
원더 우먼,2017-05-31,17468588886,2165401,1034,57818,abroad,1,major_abroad,1,1278193,3,PG 12,1,5
겟 아웃,2017-05-17,17431830075,2138174,945,56530,abroad,1,major_abroad,1,2138174,2,X_rated,3,5
맨 오브 스틸,2013-06-13,17092964063,2182227,998,55514,abroad,1,major_abroad,1,1631960,3,PG 12,1,6
해리 포터와 죽음의 성물1,2010-12-15,16974636000,2396988,717,40463,abroad,1,major_abroad,1,2946451,3,G_rated,2,12
혹성탈출: 종의 전쟁,2017-08-15,16854482778,2051315,1017,44543,abroad,1,etc_distributor,2,3026937,3,PG 12,1,8
배틀쉽,2012-04-11,16545921500,2241687,736,53109,abroad,1,major_abroad,1,2241687,3,PG 12,1,4
인투 더 스톰,2014-08-28,16157166332,2078698,585,45899,abroad,1,major_abroad,1,1167945,3,PG 12,1,8
논스톱,2014-02-27,16066549940,2084482,582,58217,abroad,1,major_domestic,0,2084482,2,PG 15,0,2
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,abroad,1,major_abroad,1,1898220,3,X_rated,3,8
테이큰 3,2015-01-01,15088105000,1860934,616,38060,abroad,1,etc_distributor,2,1589298,3,PG 15,0,1
저스티스 리그,2017-11-15,14629677795,1786383,1308,73390,abroad,1,major_abroad,1,1631960,3,PG 12,1,11
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14533948000,1190008,337,37849,abroad,1,etc_distributor,2,845717,1,X_rated,3,9
페르시아의 왕자: 시간의 모래,2010-05-27,14483501000,1970823,567,51307,abroad,1,etc_distributor,2,1970823,3,PG 12,1,5
지.아이.조 2,2013-03-28,14457048500,1855917,766,62627,abroad,1,major_domestic,0,1875958,3,PG 15,0,3
샌 안드레아스,2015-06-03,14435844152,1716455,847,62016,abroad,1,major_abroad,1,1417198,3,PG 12,1,6
007 스펙터,2015-11-11,14301476030,1820760,1105,51940,abroad,1,major_abroad,1,1691307,3,PG 15,0,11
킬러의 보디가드,2017-08-30,14020395800,1721757,482,42002,abroad,1,etc_distributor,2,1056097,3,PG 15,0,8
콩: 스컬 아일랜드,2017-03-08,13990563383,1689717,984,56425,abroad,1,major_abroad,1,1689717,3,PG 12,1,3
해결사,2010-09-09,13844624000,1843404,525,59325,domestic,0,major_domestic,0,1843404,2,PG 15,0,9
