moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,openingmonth
"날, 보러와요",2016-04-07,8836144063,1063442,683,49237,domestic,0,etc_distributor,2,1146205,mystery,9,3,4
돈의 맛,2012-05-17,8780178611,1166018,643,36922,domestic,0,major_domestic,0,1166018,drama,4,3,5
프로메테우스,2012-06-06,8600146099,971482,521,31629,abroad,1,etc_distributor,2,1263301,sf,7,3,6
용서는 없다,2010-01-07,8544828000,1118277,323,33614,domestic,0,etc_distributor,2,1182231,crime,5,6,1
맨 인 더 다크,2016-10-05,8480368672,1003406,671,40136,abroad,1,major_abroad,1,1003406,crime,5,3,10
회사원,2012-10-11,8321175000,1110523,549,41275,domestic,0,major_domestic,0,1110523,action,2,2,10
존 윅 3: 파라벨룸,2019-06-26,8205015858,1004365,849,29819,abroad,1,etc_distributor,2,1004365,action,2,1,6
방황하는 칼날,2014-04-10,7828891800,989906,594,38850,domestic,0,major_domestic,0,1035829,thriller,11,2,4
파괴된 사나이,2010-07-01,7692092100,1012310,363,31985,domestic,0,etc_distributor,2,2977866,thriller,11,3,7
불한당: 나쁜 놈들의 세상,2017-05-17,7587004625,939535,860,37913,domestic,0,major_domestic,0,1363183,crime,5,2,5
살인의뢰,2015-03-12,6986456737,855980,646,35244,domestic,0,etc_distributor,2,2714941,crime,5,3,3
레지던트 이블: 파멸의 날,2017-01-25,6422202365,765259,599,24450,abroad,1,major_abroad,1,845717,action,2,3,1
상류사회,2018-08-29,6313416163,768442,867,41725,domestic,0,major_domestic,0,768442,drama,4,2,8
관능의 법칙,2014-02-13,5858771500,781516,591,30630,domestic,0,major_domestic,0,879493,drama,4,3,2
지푸라기라도 잡고 싶은 짐승들,2020-02-19,5457014750,628977,996,65645,domestic,0,etc_distributor,2,628977,crime,5,3,2
풍산개,2011-06-23,5395201500,714136,286,19194,domestic,0,major_domestic,0,714136,drama,4,2,6
더 파이브,2013-11-14,5343797000,731212,501,27308,domestic,0,major_domestic,0,731212,thriller,11,3,11
널 기다리며,2016-03-10,5234303336,635235,551,33774,domestic,0,major_domestic,0,635235,thriller,11,3,3
우는 남자,2014-06-04,4924852800,603495,508,22322,domestic,0,major_domestic,0,2347992,action,2,2,6
사냥,2016-06-29,4912658515,645922,696,28862,domestic,0,major_domestic,0,645922,fear,12,3,6
나쁜 녀석들: 포에버,2020-01-15,4880576760,547775,896,29888,abroad,1,etc_distributor,2,547775,action,2,2,1
레지던트 이블 5 : 최후의 심판,2012-09-13,4757460500,558433,368,24599,abroad,1,etc_distributor,2,845717,action,2,1,9
황제를 위하여,2014-06-11,4754501771,592435,423,26736,domestic,0,etc_distributor,2,592435,action,2,3,6
버닝,2018-05-17,4716771098,528435,739,26514,domestic,0,etc_distributor,2,528435,mystery,9,3,5
더 울프 오브 월스트리트,2014-01-09,4490682000,585082,395,13735,abroad,1,etc_distributor,2,787652,comedy,0,3,1
피에타,2012-09-06,4355592500,603283,326,23106,domestic,0,major_domestic,0,603283,drama,4,2,9
루퍼,2012-10-11,4265566000,571922,386,23599,abroad,1,etc_distributor,2,555288,sf,7,3,10
셰이프 오브 워터: 사랑의 모양,2018-02-22,4218077050,507102,404,20200,abroad,1,etc_distributor,2,507102,drama,4,3,2
헬머니,2015-03-05,4120166972,522929,422,24846,domestic,0,major_domestic,0,522929,comedy,0,3,3
사이코메트리,2013-03-07,3978495129,534273,429,23487,domestic,0,major_domestic,0,534273,drama,4,3,3
침묵,2017-11-02,3930219264,494097,634,23228,domestic,0,major_domestic,0,494097,drama,4,3,11
순수의 시대,2015-03-05,3740948828,469891,546,23623,domestic,0,major_domestic,0,469891,drama,4,3,3
마담 뺑덕,2014-10-02,3728980590,471172,536,21636,domestic,0,major_domestic,0,471172,romance,10,3,10
빅쇼트,2016-01-21,3622652707,446712,489,17316,abroad,1,major_domestic,0,1917918,drama,4,3,1
밀레니엄 : 여자를 증오한 남자들,2012-01-11,3504237000,443855,321,12005,abroad,1,etc_distributor,2,476516,thriller,11,2,1
클라우드 아틀라스,2013-01-09,3385615727,449344,382,13627,abroad,1,major_domestic,0,449344,sf,7,3,1
리얼,2017-06-28,3357312530,470105,970,25139,domestic,0,major_domestic,0,470105,crime,5,1,6
무뢰한,2015-05-27,3262207431,414641,482,23660,domestic,0,etc_distributor,2,414641,romance,10,3,5
좋은 친구들,2014-07-10,3222101031,407228,371,17831,domestic,0,major_domestic,0,407228,crime,5,3,7
창수,2013-11-28,3146542000,429141,415,19471,domestic,0,etc_distributor,2,429141,etc,1,3,11
섹스 앤 더 시티 2,2010-06-10,3022970000,398347,233,14265,abroad,1,major_abroad,1,398347,comedy,0,3,6
그레이의 50가지 그림자,2015-02-26,2918598796,364415,512,19227,abroad,1,major_abroad,1,364415,drama,4,3,2
프롬 파리 위드 러브,2010-03-11,2804967500,369394,294,22348,abroad,1,etc_distributor,2,369394,action,2,2,3
아메리칸 스나이퍼,2015-01-14,2800001438,344766,308,10769,abroad,1,major_abroad,1,485934,action,2,3,1
헬보이,2019-04-10,2777106321,323198,726,26507,abroad,1,etc_distributor,2,323198,action,2,2,4
링컨: 뱀파이어 헌터,2012-08-30,2750911500,344876,337,16372,abroad,1,etc_distributor,2,872588,action,2,3,8
하이힐,2014-06-03,2750311500,341634,385,16750,domestic,0,major_domestic,0,628336,etc,1,3,6
캐롤,2016-02-04,2645756616,319357,288,11092,abroad,1,etc_distributor,2,223629,drama,4,3,2
극적인 하룻밤,2015-12-03,2610567429,320884,434,18332,domestic,0,etc_distributor,2,320884,romance,10,3,12
파이널 데스티네이션5,2011-09-08,2370348500,257193,168,9325,abroad,1,major_abroad,1,1167945,fear,12,3,9
런 올 나이트,2015-03-19,2293671495,289534,411,15865,abroad,1,major_abroad,1,287798,action,2,3,3
원스 어폰 어 타임... 인 할리우드,2019-09-25,2269807670,277319,678,15147,abroad,1,etc_distributor,2,268731,drama,4,3,9
악질경찰,2019-03-20,2256615278,262233,833,22785,domestic,0,major_abroad,1,2347992,drama,4,3,3
헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,2122205602,269510,297,10624,abroad,1,major_domestic,0,586342,action,2,3,2
이스케이프 플랜,2013-12-05,2106938679,292892,287,10331,abroad,1,etc_distributor,2,292892,action,2,1,12
친구와 연인사이,2011-02-10,2099697500,267843,183,9010,abroad,1,major_domestic,0,267843,comedy,0,2,2
함정,2015-09-10,2090877200,257990,445,10899,domestic,0,etc_distributor,2,257990,thriller,11,3,9
울프맨,2010-02-11,2062933500,265409,263,13920,abroad,1,major_abroad,1,389859,fear,12,3,2
장고:분노의 추적자,2013-03-21,1883634000,260144,342,11792,abroad,1,major_abroad,1,268731,drama,4,3,3
줄리아의 눈,2011-03-31,1827252000,236365,232,15411,abroad,1,etc_distributor,2,236365,mystery,9,3,3
사랑은 너무 복잡해,2010-03-11,1741752000,234083,180,12117,abroad,1,major_abroad,1,1922323,comedy,0,6,3
적과의 동침,2011-04-27,1740340000,243094,391,14069,domestic,0,major_domestic,0,243094,thriller,11,2,4
언힌지드,2020-10-07,1018720190,118570,676,19770,abroad,1,etc_distributor,2,118570,thriller,11,3,10
더 플랫폼,2020-05-13,604615000,66038,228,9706,abroad,1,etc_distributor,2,66038,sf,7,1,5
