moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
맨 인 블랙 3,2012-05-24,27301520070,3379762,770,69538,etc_distributor,2,3379762,action,2,3,PG 12,1,5
캐리비안의 해적: 낯선 조류,2011-05-19,27279967500,3130046,960,67036,etc_distributor,2,1223870,fantasy,3,3,PG 12,1,5
비긴 어게인,2014-08-13,27098834504,3427524,525,82684,etc_distributor,2,1994157,drama,4,3,PG 15,0,8
드래곤 길들이기,2010-05-20,27040606000,2562412,563,57264,major_domestic,0,2356796,animation,6,3,G_rated,2,5
리얼 스틸,2011-10-12,26566677000,3579666,603,87650,etc_distributor,2,2340672,action,2,3,PG 12,1,10
터미네이터 제니시스,2015-07-02,26556715129,3240370,1113,77590,major_domestic,0,3140129,action,2,3,PG 15,0,7
분노의 질주: 더 세븐,2015-04-01,26454098694,3247955,983,93612,major_abroad,1,1825151,action,2,3,PG 15,0,4
서치,2018-08-29,25283364845,2949944,1097,95758,etc_distributor,2,2949944,thriller,11,3,PG 15,0,8
나우 유 씨 미 2,2016-07-13,25116690113,3100113,1200,56981,major_domestic,0,1875958,crime,5,3,PG 12,1,7
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,24975495122,3049894,1357,85225,major_abroad,1,1964124,action,2,3,PG 12,1,5
인크레더블 2,2018-07-18,24554683588,3033052,1605,70934,major_abroad,1,1944199,animation,6,3,G_rated,2,7
덩케르크,2017-07-20,24550541348,2788732,1252,65906,major_abroad,1,3583005,action,2,3,PG 12,1,7
엑스맨: 아포칼립스,2016-05-25,24467887950,2938818,1262,66471,etc_distributor,2,2233161,action,2,3,PG 12,1,5
슈퍼배드 3,2017-07-26,24217091019,3324874,1057,59388,major_abroad,1,2175962,animation,6,3,G_rated,2,7
스타워즈: 깨어난 포스,2015-12-17,24149478540,2803234,940,56425,major_abroad,1,1346973,action,2,3,PG 12,1,12
드래곤 길들이기 2,2014-07-23,23979935189,3000056,829,51924,major_domestic,0,2356796,animation,6,3,G_rated,2,7
앤트맨,2015-09-03,23529209937,2841795,949,74649,major_abroad,1,4144964,action,2,3,PG 12,1,9
가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,2735721,1218,63789,major_abroad,1,1701053,action,2,3,PG 12,1,5
슈렉 포에버,2010-07-01,22809145100,2223851,561,51317,major_domestic,0,1360205,animation,6,3,G_rated,2,7
토르: 다크 월드,2013-10-30,22525808500,3039889,733,78095,major_abroad,1,3140129,action,2,3,PG 12,1,10
