moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
늑대소년,2012-10-31,46590107000,6654390,854,109069,domestic,0,major_domestic,0,2833113,romance,10,2,PG 15,0,10
안시성,2018-09-19,46335334026,5440186,1540,110439,domestic,0,major_domestic,0,2450084,action,2,3,PG 12,1,9
블랙 팬서,2018-02-14,45885123957,5399227,1620,119170,abroad,1,major_abroad,1,5399227,action,2,1,PG 12,1,2
연평해전,2015-06-24,45563228330,6043784,1013,114450,domestic,0,major_domestic,0,6043784,drama,4,3,PG 12,1,6
조커,2019-10-02,45381075450,5247874,1418,147380,abroad,1,major_abroad,1,5247874,thriller,11,1,PG 15,0,10
덕혜옹주,2016-08-03,44393828109,5599229,964,97312,domestic,0,major_domestic,0,3317126,etc,1,2,PG 12,1,8
청년경찰,2017-08-09,44381150516,5653270,1102,118544,domestic,0,major_domestic,0,5653270,action,2,2,PG 15,0,8
완벽한 타인,2018-10-31,44350807074,5293435,1325,143055,domestic,0,major_domestic,0,4571493,drama,4,3,PG 15,0,10
쿵푸팬더 2,2011-05-26,44298708500,5062720,948,101338,abroad,1,major_domestic,0,4523766,animation,6,6,G_rated,2,5
트랜스포머: 사라진 시대,2014-06-25,44012752845,5295836,1602,107875,abroad,1,major_domestic,0,5231726,sf,7,3,PG 12,1,6
더 킹,2017-01-18,43488814535,5317693,1310,107983,domestic,0,major_domestic,0,5317693,etc,1,2,PG 15,0,1
독전,2018-05-22,43485551113,5063684,1532,140007,domestic,0,major_domestic,0,2710049,crime,5,3,PG 15,0,5
1987,2017-12-27,42915772108,5290310,1122,110607,domestic,0,major_domestic,0,3842381,drama,4,3,PG 15,0,12
공작,2018-08-08,42788851176,4974520,1317,99001,domestic,0,major_domestic,0,2738003,crime,5,3,PG 15,0,8
검은 사제들,2015-11-05,42405282092,5442128,1109,131155,domestic,0,major_domestic,0,5442128,fear,12,2,PG 15,0,11
변호인,2013-12-18,41918383800,5687571,925,97261,domestic,0,major_domestic,0,2639183,drama,4,3,PG 15,0,12
라이온 킹,2019-07-17,41519457430,4743264,1936,126496,abroad,1,major_abroad,1,3141537,adventure,8,3,G_rated,2,7
남산의 부장들,2020-01-22,41225216650,4750345,1659,140051,domestic,0,major_domestic,0,2977866,drama,4,3,PG 15,0,1
어메이징 스파이더맨,2012-06-28,41163951235,4853123,1118,92755,abroad,1,etc_distributor,2,4510738,action,2,2,PG 12,1,6
킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687,95922,abroad,1,etc_distributor,2,4536339,action,2,3,X_rated,3,9
봉오동 전투,2019-08-07,40588648538,4787538,1476,107030,domestic,0,major_domestic,0,3723063,action,2,3,PG 15,0,8
의형제,2010-02-04,40153729000,5416812,569,118243,domestic,0,major_domestic,0,6849425,action,2,2,PG 15,0,2
마스터,2016-12-21,39784641065,4935320,1501,70786,domestic,0,major_domestic,0,4935320,comedy,0,3,PG 15,0,12
마션,2015-10-08,39663145295,4880800,1132,114183,abroad,1,major_abroad,1,4880800,sf,7,1,PG 12,1,10
숨바꼭질,2013-08-14,39602977500,5604103,779,88062,domestic,0,major_domestic,0,5604103,thriller,11,3,X_rated,3,8
나쁜 녀석들: 더 무비,2019-09-11,39560195124,4573902,1511,113938,domestic,0,major_domestic,0,2714941,crime,5,3,PG 15,0,9
히말라야,2015-12-16,39469775448,5129409,1095,81042,domestic,0,major_domestic,0,5951226,drama,4,2,PG 12,1,12
감시자들,2013-07-03,39380162179,5508017,949,100309,domestic,0,major_domestic,0,5508017,crime,5,3,PG 15,0,7
신비한 동물사전,2016-11-16,39300515858,4662534,1431,115676,abroad,1,major_abroad,1,2946451,fantasy,3,3,PG 12,1,11
토르: 라그나로크,2017-10-25,39227691395,4853778,1640,137423,abroad,1,major_abroad,1,2482957,action,2,3,PG 12,1,10
엣지 오브 투모로우,2014-06-04,38732961201,4699307,801,94559,abroad,1,major_abroad,1,2550424,action,2,3,PG 12,1,6
다만 악에서 구하소서,2020-08-05,38602260990,4357803,1998,193842,domestic,0,major_domestic,0,4357803,crime,5,3,PG 15,0,8
월드 워 Z,2013-06-20,38555356000,5237525,964,100823,abroad,1,major_domestic,0,2864863,drama,4,2,PG 15,0,6
완득이,2011-10-20,38526161500,5309928,629,117763,domestic,0,major_domestic,0,3154621,drama,4,2,PG 12,1,10
인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,abroad,1,major_abroad,1,4969735,animation,6,3,G_rated,2,7
주토피아,2016-02-17,37096057742,4706158,735,131005,abroad,1,major_abroad,1,4706158,animation,6,3,G_rated,2,2
군도: 민란의 시대,2014-07-23,36988022499,4774931,1394,67237,domestic,0,major_domestic,0,4747401,action,2,2,PG 15,0,7
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,4719872,713,91889,domestic,0,major_domestic,0,4747401,crime,5,2,X_rated,3,2
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,35841769500,4786259,634,84189,domestic,0,major_domestic,0,3700803,comedy,0,3,PG 12,1,1
도가니,2011-09-22,35566854800,4662822,756,88337,domestic,0,major_domestic,0,5723297,drama,4,2,X_rated,3,9
아가씨,2016-06-01,35211229991,4287839,1171,90365,domestic,0,major_domestic,0,4287839,thriller,11,3,X_rated,3,6
신세계,2013-02-21,34881330905,4682492,671,90580,domestic,0,major_domestic,0,3081633,crime,5,3,X_rated,3,2
어메이징 스파이더맨 2,2014-04-23,34869101800,4168353,1312,91715,abroad,1,major_abroad,1,4510738,action,2,2,PG 12,1,4
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,4313871,1056,82722,abroad,1,etc_distributor,2,2233161,sf,7,3,PG 12,1,5
바람과 함께 사라지다,2012-08-08,34614661161,4909937,694,78591,domestic,0,major_domestic,0,2773699,comedy,0,3,PG 12,1,8
