moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,openingmonth
명량,2014-07-30,135748398910,17613682,1587,188611,domestic,0,major_domestic,0,8982706,etc,1,3,7
어벤져스: 엔드게임,2019-04-24,122182694160,13934592,2835,242001,abroad,1,major_abroad,1,10224854,action,2,3,4
신과함께-인과 연,2018-08-01,102666146909,12274996,2235,179981,domestic,0,major_domestic,0,6491963,fantasy,3,3,8
어벤져스: 인피니티 워,2018-04-25,99926399769,11212710,2553,240501,abroad,1,major_abroad,1,10224854,action,2,3,4
어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843,191778,abroad,1,major_abroad,1,10494499,action,2,3,4
아바타,2009-12-17,81455728000,8151952,714,111860,abroad,1,etc_distributor,2,3721359,sf,7,3,12
인터스텔라,2014-11-06,80671424300,10105247,1410,166218,abroad,1,major_abroad,1,3583005,sf,7,3,11
엑시트,2019-07-31,79232012162,9426011,1660,202223,domestic,0,major_domestic,0,9426011,action,2,2,7
트랜스포머 3,2011-06-29,74840681500,7784743,1409,124450,abroad,1,major_domestic,0,5231726,sf,7,3,6
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,abroad,1,major_abroad,1,10224854,action,2,3,4
아이언맨 3,2013-04-25,70806364000,9001331,1389,163584,abroad,1,major_abroad,1,9001331,sf,7,3,4
국제시장,2014-12-17,69841376134,8915904,1044,149061,domestic,0,major_domestic,0,8915904,drama,4,3,12
스파이더맨: 파 프롬 홈,2019-07-02,69010000100,8021145,2142,180474,abroad,1,etc_distributor,2,5866190,action,2,3,7
해적: 바다로 간 산적,2014-08-06,66370682706,8666046,910,133350,domestic,0,major_domestic,0,5951226,adventure,8,2,8
어벤져스,2012-04-26,59557853478,7074867,967,109697,abroad,1,major_abroad,1,10224854,action,2,3,4
스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,abroad,1,etc_distributor,2,5866190,action,2,2,7
베를린,2013-01-30,52355568637,7166290,894,111744,domestic,0,major_domestic,0,7166290,drama,4,3,1
캡틴 마블,2019-03-06,51507488723,5802810,2100,186382,abroad,1,major_abroad,1,5802810,action,2,3,3
쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,5661128,1972,144779,abroad,1,major_abroad,1,3141916,action,2,2,6
앤트맨과 와스프,2018-07-04,47468053685,5448134,1775,148244,abroad,1,major_abroad,1,4144964,action,2,3,7
신과함께-죄와 벌,2017-12-20,47355583705,5872007,1644,121961,domestic,0,major_domestic,0,6491963,fantasy,3,3,12
안시성,2018-09-19,46335334026,5440186,1540,110439,domestic,0,major_domestic,0,2450084,action,2,3,9
