moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
수상한 그녀,2014.1.22,62705348249,8657982,1027,136975,한국,(주)씨제이이엔엠,황동혁,코미디,"심은경(오두리), 나문희(오말순), 박인환(박씨)",[국내] 15세 관람가
밀정,2016.9.7,61269783831,7500420,1444,138161,한국,워너브러더스 코리아(주),김지운,액션,"송강호(이정출), 공유(김우진)",[국내] 15세 관람가
어벤져스,2012.4.26,59557853478,7074867,967,109697,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)",[국내] 12세 관람가
스파이더맨: 홈 커밍,2017.7.5,59125813820,7258678,1965,164448,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,존 왓츠,액션,"톰 홀랜드(피터 파커/스파이더맨), 마이클 키튼(아드리안 툼즈/벌처)",[국내] 12세 관람가 [해외] PG-13
터널,2016.8.10,57529484417,7120508,1105,113201,한국,(주)쇼박스,최진혁,한국,,
내부자들,2015.11.19,56465665657,7055332,1129,152265,한국,(주)쇼박스,우민호,범죄,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",[국내] 청소년 관람불가
럭키,2016.10.13,56444461256,6975290,1234,155977,한국,(주)쇼박스,이계벽,코미디,"유해진(형욱), 이준(재성), 조윤희(리나)",[국내] 15세 관람가
범죄도시,2017.10.3,56318014149,6879841,1315,149334,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",이상용,범죄,"마동석(마석도), 손석구(강해상), 최귀화(전일만)",
미션 임파서블: 폴아웃,2018.7.25,55888375112,6584915,1957,101374,미국,롯데컬처웍스(주)롯데엔터테인먼트,크리스토퍼 맥쿼리,액션,"톰 크루즈(에단 헌트), 헨리 카빌(어거스트 워커), 사이먼 페그(벤지 던)",[국내] 15세 관람가
곡성,2016.5.12,55863520382,6879908,1485,130322,한국,이십세기폭스코리아(주),나홍진,미스터리,"곽도원(종구), 황정민(일광), 쿠니무라 준(외지인)",[국내] 15세 관람가
최종병기 활,2011.8.10,55827861500,7470633,615,130054,한국,롯데쇼핑㈜롯데엔터테인먼트,김한민,액션,"박해일(남이), 류승룡(쥬신타), 김무열(서군)",[국내] 15세 관람가
인천상륙작전,2016.7.27,55101410303,7049643,1049,97019,한국,(주)씨제이이엔엠,이재한,전쟁,"이정재(장학수), 이범수(림계진), 리암 니슨(맥아더 장군)",[국내] 15세 관람가
써니,2011.5.4,54035565100,7362657,546,149135,한국,(주)씨제이이엔엠,오오네 히토시,드라마,"시노하라 료코, 히로세 스즈, 미우라 하루마",[국내] 15세 관람가
베를린,2013.1.30,52355568637,7166290,894,111744,한국,(주)씨제이이엔엠,그레고어 얼러,드라마,"마티아스 지에싱, 페가 페리도니, 모리츠 하이델바흐",[국내] 12세 관람가
캡틴 마블,2019.3.6,51507488723,5802810,2100,186382,미국,월트디즈니컴퍼니코리아 유한책임회사,애너 보든,액션,"브리 라슨(캐럴 댄버스 / 비어스 / 캡틴 마블), 사무엘 L. 잭슨(닉 퓨리), 벤 멘델슨(탈로스 / 켈러)",[국내] 12세 관람가
군함도,2017.7.26,50510565168,6592151,2027,108775,한국,(주)씨제이이엔엠,류승완,액션,"황정민(이강옥), 소지섭(최칠성), 송중기(박무영)",[국내] 15세 관람가
킹스맨 : 시크릿 에이전트,2015.2.11,50369009795,6129681,728,139988,미국,이십세기폭스코리아(주),매튜 본,액션,"콜린 퍼스(해리), 태런 에저튼(에그시), 사무엘 L. 잭슨(발렌타인)",[국내] 청소년 관람불가
쥬라기 월드: 폴른 킹덤,2018.6.6,49770711037,5661128,1972,144779,미국,유니버설픽쳐스인터내셔널 코리아(유),후안 안토니오 바요나,액션,"크리스 프랫(오웬 그래디), 브라이스 달라스 하워드(클레어 디어링)",[국내] 12세 관람가
사도,2015.9.16,48842902501,6246849,1210,124246,한국,(주)쇼박스,최우성,멜로/로맨스,[국내] 청소년 관람불가,
은밀하게 위대하게,2013.6.5,48700887413,6959083,1341,117461,한국,(주)쇼박스,장철수,액션,"김수현(원류환), 박기웅(리해랑), 이현우(리해진)",[국내] 15세 관람가
미션 임파서블: 로그네이션,2015.7.30,48547353607,6126488,1202,89682,미국,롯데쇼핑㈜롯데엔터테인먼트,크리스토퍼 맥쿼리,액션,"톰 크루즈(에단 헌트), 제레미 레너(윌리엄 브랜트), 사이먼 페그(벤지 던)",[국내] 15세 관람가 [해외] PG-13
쥬라기 월드,2015.6.11,47800698826,5546792,1290,118959,미국,유니버설픽쳐스인터내셔널 코리아(유),콜린 트레보로우,액션,"크리스 프랫(오웬 그레디), 브라이스 달라스 하워드(클레어 디어링)",
