영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
택시운전사,2017.8.2,"95,853,645,649","12,186,327","1,906","184,075",한국,(주)쇼박스
신과함께-죄와 벌,2017.12.20,"68,350,496,432","8,539,495","1,912","91,301",한국,롯데쇼핑㈜롯데엔터테인먼트
공조,2017.1.18,"63,783,051,326","7,817,618","1,392","142,989",한국,(주)씨제이이엔엠
스파이더맨: 홈 커밍,2017.7.5,"59,125,813,820","7,258,678","1,965","164,448",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
범죄도시,2017.10.3,"56,318,014,149","6,879,841","1,315","149,334",한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
군함도,2017.7.26,"50,510,565,168","6,592,151","2,027","108,775",한국,(주)씨제이이엔엠
청년경찰,2017.8.9,"44,381,150,516","5,653,270","1,102","118,544",한국,롯데쇼핑㈜롯데엔터테인먼트
더 킹,2017.1.18,"43,488,814,535","5,317,693","1,310","107,983",한국,(주)넥스트엔터테인먼트월드(NEW)
미녀와 야수,2017.3.16,"42,133,751,579","5,138,328","1,627","140,561",미국,월트디즈니컴퍼니코리아 유한책임회사
킹스맨: 골든 서클,2017.9.27,"40,987,484,736","4,945,484","1,687","95,922","미국,영국",이십세기폭스코리아(주)
토르: 라그나로크,2017.10.25,"39,227,691,395","4,853,778","1,640","137,423",미국,월트디즈니컴퍼니코리아 유한책임회사
꾼,2017.11.22,"31,312,029,795","4,018,035","1,314","117,398",한국,(주)쇼박스
강철비,2017.12.14,"31,994,897,566","4,014,293","1,426","66,760",한국,(주)넥스트엔터테인먼트월드(NEW)
남한산성,2017.10.3,"31,225,083,792","3,849,087","1,229","71,101",한국,(주)씨제이이엔엠
미이라,2017.6.6,"30,504,689,978","3,689,325","1,257","105,228",미국,유니버설픽쳐스인터내셔널 코리아(유)
분노의 질주: 더 익스트림,2017.4.12,"29,981,156,348","3,653,238","1,469","113,241","미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
너의 이름은.,2017.1.4,"29,251,793,156","3,637,608",947,"82,978",일본,메가박스중앙(주)플러스엠
슈퍼배드 3,2017.7.26,"24,217,091,019","3,324,874","1,057","59,388",미국,유니버설픽쳐스인터내셔널 코리아(유)
아이 캔 스피크,2017.9.21,"25,526,451,186","3,279,296","1,140","93,012",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,"24,975,495,122","3,049,894","1,357","85,225",미국,월트디즈니컴퍼니코리아 유한책임회사
프리즌,2017.3.23,"23,790,276,987","2,931,897","1,047","89,024",한국,(주)쇼박스
덩케르크,2017.7.20,"24,550,541,348","2,788,732","1,252","65,906","미국,영국",워너브러더스 코리아(주)
가디언즈 오브 갤럭시 VOL. 2,2017.5.3,"23,452,686,686","2,735,721","1,218","63,789",미국,월트디즈니컴퍼니코리아 유한책임회사
살인자의 기억법,2017.9.6,"21,375,287,492","2,658,589","1,064","88,686",한국,(주)쇼박스
트랜스포머: 최후의 기사,2017.6.21,"21,501,959,228","2,614,601","1,739","87,234",미국,롯데쇼핑㈜롯데엔터테인먼트
보안관,2017.5.3,"20,844,488,409","2,588,628","1,091","63,709",한국,롯데쇼핑㈜롯데엔터테인먼트
조작된 도시,2017.2.9,"20,143,992,587","2,515,501","1,019","62,241",한국,(주)씨제이이엔엠
보스 베이비,2017.5.3,"18,936,306,704","2,452,245","1,116","48,379",미국,(주)씨제이이엔엠
재심,2017.2.15,"19,266,319,637","2,421,197",935,"68,402",한국,"오퍼스픽쳐스(유),CGV아트하우스"
박열,2017.6.28,"18,093,639,795","2,359,206","1,176","78,499",한국,메가박스중앙(주)플러스엠
모아나,2017.1.12,"18,056,417,307","2,310,206",953,"53,162",미국,월트디즈니컴퍼니코리아 유한책임회사
마스터,2016.12.21,"18,283,595,800","2,215,266","1,245","56,141",한국,(주)씨제이이엔엠
로건,2017.3.1,"18,391,060,223","2,169,109",954,"68,709",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
원더 우먼,2017.5.31,"17,468,588,886","2,165,401","1,034","57,818",미국,워너브러더스 코리아(주)
겟 아웃,2017.5.17,"17,431,830,075","2,138,174",945,"56,530",미국,유니버설픽쳐스인터내셔널 코리아(유)
혹성탈출: 종의 전쟁,2017.8.15,"16,854,482,778","2,051,315","1,017","44,543",미국,이십세기폭스코리아(주)
1987,2017.12.27,"15,254,004,037","1,942,077","1,299","27,619",한국,(주)씨제이이엔엠
애나벨 : 인형의 주인,2017.8.10,"15,527,492,238","1,934,270","1,006","35,103",미국,워너브러더스 코리아(주)
노무현입니다,2017.5.25,"14,556,517,612","1,855,149",775,"61,327",한국,"CGV아트하우스,영화사 풀"
저스티스 리그,2017.11.15,"14,629,677,795","1,786,383","1,308","73,390",미국,워너브러더스 코리아(주)
킬러의 보디가드,2017.8.30,"14,020,395,800","1,721,757",482,"42,002",미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
콩: 스컬 아일랜드,2017.3.8,"13,990,563,383","1,689,717",984,"56,425",미국,워너브러더스 코리아(주)
23 아이덴티티,2017.2.22,"13,609,648,135","1,675,819",952,"44,104",미국,유니버설픽쳐스인터내셔널 코리아(유)
임금님의 사건수첩,2017.4.26,"12,651,193,723","1,635,003","1,054","53,005",한국,(주)씨제이이엔엠
부라더,2017.11.2,"11,783,109,998","1,492,903",889,"54,975",한국,메가박스중앙(주)플러스엠
기억의 밤,2017.11.29,"10,646,654,660","1,386,611",759,"52,847",한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니"
해피 데스데이,2017.11.8,"11,004,455,402","1,382,650",714,"52,101",미국,유니버설픽쳐스인터내셔널 코리아(유)
브이아이피,2017.8.23,"10,956,621,835","1,373,316",996,"44,650",한국,워너브러더스 코리아(주)
특별시민,2017.4.26,"10,494,768,945","1,362,634","1,154","46,377",한국,(주)쇼박스
에이리언: 커버넌트,2017.5.9,"10,745,826,264","1,307,226",841,"41,761","미국,호주,뉴질랜드",이십세기폭스코리아(주)
장산범,2017.8.17,"10,341,783,083","1,306,438",711,"34,768",한국,(주)넥스트엔터테인먼트월드(NEW)
악녀,2017.6.8,"9,739,662,144","1,208,081",685,"46,070",한국,(주)넥스트엔터테인먼트월드(NEW)
해빙,2017.3.1,"9,905,406,822","1,204,600",915,"46,227",한국,롯데쇼핑㈜롯데엔터테인먼트
라라랜드,2016.12.7,"9,822,110,162","1,185,287",590,"37,450",미국,판씨네마(주)
하루,2017.6.15,"9,072,737,842","1,129,609",781,"45,808",한국,CGV아트하우스
지오스톰,2017.10.19,"8,480,864,614","1,028,384",854,"35,453",미국,워너브러더스 코리아(주)
스타워즈: 라스트 제다이,2017.12.14,"8,535,886,061","946,547","1,107","30,914",미국,월트디즈니컴퍼니코리아 유한책임회사
불한당: 나쁜 놈들의 세상,2017.5.17,"7,587,004,625","939,535",860,"37,913",한국,(주)씨제이이엔엠
그것,2017.9.6,"7,335,022,607","888,836",837,"35,430",미국,워너브러더스 코리아(주)
오리엔트 특급 살인,2017.11.29,"6,636,205,163","863,567",707,"35,031",미국,이십세기폭스코리아(주)
대립군,2017.5.31,"6,276,963,402","837,500",809,"29,084",한국,이십세기폭스코리아(주)
베이비 드라이버,2017.9.14,"6,699,906,214","822,769",778,"40,531",영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
위대한 쇼맨,2017.12.20,"6,657,027,200","814,585",702,"20,306",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
뽀로로 극장판 공룡섬 대모험,2017.12.7,"5,848,888,600","773,743",803,"18,226",한국,(주)넥스트엔터테인먼트월드(NEW)
레지던트 이블: 파멸의 날,2017.1.25,"6,422,202,365","765,259",599,"24,450","미국,독일,호주,캐나다,프랑스",유니버설픽쳐스인터내셔널 코리아(유)
공각기동대 : 고스트 인 더 쉘,2017.3.29,"6,285,970,884","764,072",807,"36,261",미국,롯데쇼핑㈜롯데엔터테인먼트
트롤,2017.2.16,"5,011,161,500","675,966",622,"18,387",미국,(주)씨제이이엔엠
패신저스,2017.1.4,"5,467,466,918","668,576",608,"21,517",미국,유니버설픽쳐스인터내셔널 코리아(유)
씽,2016.12.21,"5,062,317,800","667,598",721,"17,191",미국,유니버설픽쳐스인터내셔널 코리아(유)
아빠는 딸,2017.4.12,"5,054,757,395","647,305",586,"33,263",한국,메가박스중앙(주)플러스엠
컨택트,2017.2.2,"5,214,551,521","634,150",605,"22,770",미국,유니버설픽쳐스인터내셔널 코리아(유)
47 미터,2017.7.19,"4,686,079,657","590,045",733,"20,457",영국,(주)키다리이엔티
메리와 마녀의 꽃,2017.12.7,"4,064,280,239","535,331",751,"21,383",일본,CGV아트하우스
얼라이드,2017.1.11,"4,278,041,179","518,886",546,"19,875",미국,롯데쇼핑㈜롯데엔터테인먼트
발레리안: 천 개 행성의 도시,2017.8.30,"4,047,756,408","511,931",629,"23,405",프랑스,판씨네마(주)
그레이트 월,2017.2.15,"4,355,441,358","501,486",598,"23,094","미국,중국",유니버설픽쳐스인터내셔널 코리아(유)
침묵,2017.11.2,"3,930,219,264","494,097",634,"23,228",한국,(주)씨제이이엔엠
카3: 새로운 도전,2017.7.13,"3,599,544,501","487,916",800,"14,906",미국,월트디즈니컴퍼니코리아 유한책임회사
트리플 엑스 리턴즈,2017.2.8,"3,967,335,095","475,309",590,"20,692",미국,롯데쇼핑㈜롯데엔터테인먼트
리얼,2017.6.28,"3,357,312,530","470,105",970,"25,139",한국,(주)씨제이이엔엠
너의 췌장을 먹고 싶어,2017.10.25,"3,703,660,800","465,265",218,"16,849",일본,(주)넥스트엔터테인먼트월드(NEW)
라이프,2017.4.5,"3,791,748,210","459,984",647,"27,762",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
명탐정 코난:진홍의 연가,2017.8.2,"3,268,917,200","450,043",582,"9,763",일본,(주)씨제이이엔엠
히든 피겨스,2017.3.23,"3,580,767,033","449,518",448,"19,742",미국,이십세기폭스코리아(주)
반드시 잡는다,2017.11.29,"3,326,439,772","446,780",565,"24,559",한국,(주)넥스트엔터테인먼트월드(NEW)
원라인,2017.3.29,"3,319,035,433","435,048",613,"20,788",한국,(주)넥스트엔터테인먼트월드(NEW)
터닝메카드W: 블랙미러의 부활,2017.1.18,"3,215,588,500","429,933",570,"14,146",한국,(주)키다리이엔티
스머프: 비밀의 숲,2017.4.28,"3,122,661,000","427,764",607,"10,658",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
로그 원: 스타워즈 스토리,2016.12.28,"3,920,458,500","422,822",810,"17,226",미국,월트디즈니컴퍼니코리아 유한책임회사
킹 아서: 제왕의 검,2017.5.17,"3,373,678,655","415,714",588,"20,315","영국,호주,미국",워너브러더스 코리아(주)
극장판 포켓몬스터 너로 정했다!,2017.12.21,"3,117,529,700","415,255",626,"7,796",일본,(주)이수C&E
넛잡 2,2017.10.3,"3,069,388,100","411,787",526,"10,449","한국,캐나다,중국",롯데쇼핑㈜롯데엔터테인먼트
아메리칸 메이드,2017.9.14,"3,175,539,145","401,541",691,"26,356",미국,유니버설픽쳐스인터내셔널 코리아(유)
러빙 빈센트,2017.11.9,"3,061,456,861","384,540",272,"14,651","영국,폴란드","(주)스튜디오디에이치엘,판씨네마(주)"
보통사람,2017.3.23,"2,956,397,623","383,336",621,"19,928",한국,오퍼스픽쳐스(유)
대장 김창수,2017.10.19,"2,879,121,115","381,483",748,"21,744",한국,"(주)키다리이엔티,주식회사 키위컴퍼니"
눈의 여왕 3: 눈과 불의 마법대결,2017.1.4,"2,694,247,700","366,442",526,"10,639",러시아,(주)이수C&E
어쌔신 크리드,2017.1.11,"2,899,784,921","355,913",566,"16,218","미국,영국,프랑스",이십세기폭스코리아(주)
플립,2017.7.12,"2,828,867,900","355,617",249,"13,177",미국,(주)팝엔터테인먼트
석조저택 살인사건,2017.5.9,"2,829,106,886","353,517",539,"17,925",한국,(주)키다리이엔티
