영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
아바타,2009.12.17,"81,455,728,000","8,151,952",714,"111,860",미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
아저씨,2010.8.4,"47,101,332,000","6,178,248",501,"109,853",한국,CJ ENM
인셉션,2010.7.21,"43,394,990,000","5,827,444",531,"81,891",미국,"(주)디스테이션,워너브러더스 코리아(주)"
의형제,2010.2.4,"40,153,729,000","5,416,812",569,"118,243",한국,(주)쇼박스
아이언맨 2,2010.4.29,"32,635,195,500","4,425,003",921,"87,665",미국,CJ ENM
전우치,2009.12.23,"26,345,113,000","3,611,472",556,"73,175",한국,CJ ENM
이끼,2010.7.14,"25,437,300,500","3,350,303",740,"58,198",한국,CJ ENM
포화속으로,2010.6.16,"23,831,958,600","3,330,324",742,"80,091",한국,롯데쇼핑㈜롯데엔터테인먼트
하모니,2010.1.28,"21,641,750,000","3,018,131",384,"77,723",한국,CJ ENM
방자전,2010.6.2,"22,490,024,000","2,985,483",495,"67,562",한국,CJ ENM
솔트,2010.7.29,"21,360,288,000","2,869,938",556,"53,679",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
부당거래,2010.10.28,"20,996,302,500","2,722,996",502,"69,703",한국,CJ ENM
시라노; 연애조작단,2010.9.16,"19,838,369,000","2,684,783",415,"77,736",한국,롯데쇼핑㈜롯데엔터테인먼트
타이탄,2010.4.1,"21,796,996,500","2,642,483",694,"87,911",미국,워너브러더스 코리아(주)
드래곤 길들이기,2010.5.20,"27,040,606,000","2,562,412",563,"57,264",미국,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM"
해리 포터와 죽음의 성물1,2010.12.15,"16,974,636,000","2,396,988",717,"40,463",미국,워너브러더스 코리아(주)
하녀,2010.5.13,"17,038,639,000","2,267,556",555,"59,621",한국,(주)싸이더스
나잇&데이,2010.6.24,"16,777,869,600","2,243,484",494,"54,797",미국,이십세기폭스코리아(주)
슈렉 포에버,2010.7.1,"22,809,145,100","2,223,851",561,"51,317",미국,CJ ENM
