영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
터보,2013.7.25,"13,116,737,000","1,924,414",634,"28,783",미국,(주)씨제이이엔엠
연애의 온도,2013.3.21,"13,798,864,446","1,865,195",567,"57,847",한국,롯데쇼핑㈜롯데엔터테인먼트
지.아이.조 2,2013.3.28,"14,457,048,500","1,855,917",766,"62,627","미국,캐나다",(주)씨제이이엔엠
분노의 질주: 더 맥시멈,2013.5.22,"13,210,338,042","1,790,916",657,"44,371",미국,유니버설픽쳐스인터내셔널 코리아(유)
공범,2013.10.24,"12,333,110,882","1,766,285",611,"51,425",한국,(주)씨제이이엔엠
집으로 가는 길,2013.12.11,"12,373,339,745","1,763,231",740,"39,811",한국,(주)씨제이이엔엠
전설의 주먹,2013.4.10,"12,777,314,500","1,744,585",724,"57,593",한국,(주)씨제이이엔엠
파파로티,2013.3.14,"11,825,934,000","1,716,429",552,"53,601",한국,(주)쇼박스
스타트렉 다크니스,2013.5.30,"12,964,828,000","1,605,271",607,"40,504",미국,(주)씨제이이엔엠
라이프 오브 파이,2013.1.1,"15,812,506,500","1,588,373",392,"32,722",미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
오블리비언,2013.4.11,"11,165,841,500","1,515,356",634,"47,871",미국,유니버설픽쳐스인터내셔널 코리아(유)
위대한 개츠비,2013.5.16,"10,581,329,643","1,445,248",562,"36,008","미국,호주",워너브러더스 코리아(주)
다이하드: 굿 데이 투 다이,2013.2.6,"10,825,703,000","1,438,056",459,"33,055",미국,이십세기폭스코리아(주)
런닝맨,2013.4.4,"10,060,239,500","1,422,844",567,"45,995","한국,미국",이십세기폭스코리아(주)
미스터 고,2013.7.17,"9,337,976,000","1,328,888",840,"38,263","한국,중국",(주)쇼박스
결혼전야,2013.11.21,"8,434,175,719","1,212,843",524,"38,819",한국,씨너스엔터테인먼트(주)
깡철이,2013.10.2,"8,572,344,462","1,209,363",707,"43,102",한국,(주)씨제이이엔엠
엘리시움,2013.8.29,"9,017,994,500","1,207,732",588,"31,515",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
더 웹툰: 예고살인,2013.6.27,"8,537,683,070","1,201,457",541,"35,931",한국,(주)씨제이이엔엠
웜 바디스,2013.3.14,"8,361,708,124","1,169,839",477,"37,960",미국,(주)씨제이이엔엠
고령화 가족,2013.5.9,"8,169,492,153","1,141,222",583,"37,524",한국,(주)씨제이이엔엠
헝거게임: 캣칭 파이어,2013.11.21,"7,850,816,000","1,125,739",630,"33,686",미국,롯데쇼핑㈜롯데엔터테인먼트
더 울버린,2013.7.25,"7,849,518,000","1,075,333",707,"26,905",미국,이십세기폭스코리아(주)
동창생,2013.11.6,"7,010,197,126","1,048,280",660,"36,401",한국,(주)쇼박스
에픽 : 숲속의 전설,2013.8.7,"6,748,072,000","978,785",471,"18,377",미국,이십세기폭스코리아(주)
전국노래자랑,2013.5.1,"6,687,636,000","978,413",581,"41,649",한국,롯데쇼핑㈜롯데엔터테인먼트
슈퍼배드 2,2013.9.12,"6,605,655,500","962,862",424,"17,373",미국,유니버설픽쳐스인터내셔널 코리아(유)
잭 더 자이언트 킬러,2013.2.28,"7,376,481,000","956,154",507,"27,115",미국,워너브러더스 코리아(주)
크루즈 패밀리,2013.5.16,"6,540,951,500","941,824",525,"21,734",미국,(주)씨제이이엔엠
뽀로로 극장판 슈퍼썰매 대모험,2013.1.23,"6,826,641,500","931,342",459,"19,941",한국,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠"
개구쟁이 스머프 2,2013.8.1,"5,993,979,500","921,788",478,"15,485",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
몬스터 호텔,2013.1.17,"6,080,221,500","884,885",489,"16,647",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
열한시,2013.11.28,"6,097,792,000","870,785",512,"32,536",한국,(주)씨제이이엔엠
몬스터 대학교,2013.9.12,"5,879,223,500","870,605",385,"15,172",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
남쪽으로 튀어,2013.2.6,"5,970,851,500","832,894",428,"23,088",한국,롯데쇼핑㈜롯데엔터테인먼트
하늘에서 음식이 내린다면 2,2013.11.21,"5,411,562,500","797,850",545,"16,340",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
잭 리처,2013.1.17,"5,758,577,000","784,031",431,"19,868",미국,(주)씨제이이엔엠
반창꼬,2012.12.19,"5,451,422,068","745,262",381,"20,840",한국,(주)넥스트엔터테인먼트월드(NEW)
더 파이브,2013.11.14,"5,343,797,000","731,212",501,"27,308",한국,(주)씨제이이엔엠
더 임파서블,2013.1.17,"4,445,235,500","622,704",407,"19,595","스페인,미국",롯데쇼핑㈜롯데엔터테인먼트
인시디어스: 두번째 집,2013.12.5,"4,001,137,000","577,748",405,"18,653",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
섀도우 헌터스: 뼈의 도시,2013.9.12,"4,034,176,500","571,074",374,"18,273","미국,독일",롯데쇼핑㈜롯데엔터테인먼트
화이트 하우스 다운,2013.6.27,"4,015,707,500","569,500",480,"19,850",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
애프터 어스,2013.5.30,"3,831,856,167","537,920",484,"19,867",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
사이코메트리,2013.3.7,"3,978,495,129","534,273",429,"23,487",한국,(주)씨제이이엔엠
퍼시 잭슨과 괴물의 바다,2013.9.12,"3,791,349,609","519,584",409,"17,054",미국,이십세기폭스코리아(주)
남자사용설명서,2013.2.14,"3,606,654,257","507,913",372,"17,238",한국,(주)쇼박스
다이노소어 어드벤처 3D,2013.12.19,"4,140,930,000","507,164",464,"8,994","미국,영국",이십세기폭스코리아(주)
무서운 이야기 2,2013.6.5,"3,393,667,500","495,522",337,"18,509",한국,롯데쇼핑㈜롯데엔터테인먼트
캐치미,2013.12.18,"3,293,262,500","480,434",517,"16,151",한국,롯데쇼핑㈜롯데엔터테인먼트
썬더와 마법저택,2013.12.24,"3,109,415,000","459,295",422,"6,081",벨기에,(주)씨제이이엔엠
노브레싱,2013.10.30,"2,991,824,739","451,669",584,"24,912","한국,필리핀",(주)나이너스엔터테인먼트
클라우드 아틀라스,2013.1.9,"3,385,615,727","449,344",382,"13,627","미국,독일",(주)넥스트엔터테인먼트월드(NEW)
창수,2013.11.28,"3,146,542,000","429,141",415,"19,471",한국,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트"
명탐정 코난 : 수평선상의 음모,2013.8.7,"2,465,123,000","389,871",316,"8,196",일본,(주)씨제이이엔엠
론 레인저,2013.7.4,"2,750,149,500","387,527",401,"14,155",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
스토커,2013.2.28,"2,829,265,174","378,874",329,"15,590",미국,이십세기폭스코리아(주)
오즈 그레이트 앤드 파워풀,2013.3.7,"2,886,185,000","350,563",425,"15,582",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
미나문방구,2013.5.16,"2,247,017,000","334,323",385,"16,653",한국,롯데쇼핑㈜롯데엔터테인먼트
차이니즈 조디악,2013.2.27,"2,211,711,500","315,305",300,"13,432",중국,롯데쇼핑㈜롯데엔터테인먼트
빌리와 용감한 녀석들 2,2013.2.21,"2,006,325,000","306,837",289,"7,410",인도,(주)에스비에스콘텐츠허브
주먹왕 랄프,2012.12.19,"2,116,917,500","301,436",286,"7,086",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
이스케이프 플랜,2013.12.5,"2,106,938,679","292,892",287,"10,331",미국,판씨네마(주)
눈의 여왕,2013.2.7,"1,846,221,000","276,913",316,"6,528",러시아,(주)넥스트엔터테인먼트월드(NEW)
롤러코스터,2013.10.17,"1,913,087,600","270,148",374,"14,726",한국,(주)씨제이이엔엠
헨젤과 그레텔: 마녀 사냥꾼 3D,2013.2.14,"2,122,205,602","269,510",297,"10,624","미국,영국",(주)씨제이이엔엠
파이스토리 : 악당상어 소탕작전,2013.1.10,"1,808,263,000","267,440",298,"7,483","미국,한국",(주)에스비에스콘텐츠허브
장고:분노의 추적자,2013.3.21,"1,883,634,000","260,144",342,"11,792",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
밤의 여왕,2013.10.17,"1,762,892,500","252,475",333,"13,286",한국,(주)인벤트스톤
