영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
7번방의 선물,2013.1.23,"91,431,914,670","12,811,206",866,"166,815",한국,(주)넥스트엔터테인먼트월드(NEW)
설국열차,2013.8.1,"67,010,087,500","9,349,993","1,128","124,823","한국,체코",(주)씨제이이엔엠
관상,2013.9.11,"66,005,427,500","9,134,581","1,240","125,073",한국,(주)쇼박스
아이언맨 3,2013.4.25,"70,806,364,000","9,001,331","1,389","163,584",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
베를린,2013.1.30,"52,355,568,637","7,166,290",894,"111,744","한국,독일",(주)씨제이이엔엠
은밀하게 위대하게,2013.6.5,"48,700,887,413","6,959,083","1,341","117,461",한국,(주)쇼박스
변호인,2013.12.18,"40,953,398,000","5,687,047",923,"55,006",한국,(주)넥스트엔터테인먼트월드(NEW)
숨바꼭질,2013.8.14,"39,602,977,500","5,604,103",779,"88,062",한국,(주)넥스트엔터테인먼트월드(NEW)
더 테러 라이브,2013.7.31,"39,869,706,381","5,584,139",809,"93,488",한국,롯데쇼핑㈜롯데엔터테인먼트
감시자들,2013.7.3,"39,380,162,179","5,508,017",949,"100,309",한국,(주)넥스트엔터테인먼트월드(NEW)
월드 워 Z,2013.6.20,"38,555,356,000","5,237,525",964,"100,823",미국,롯데쇼핑㈜롯데엔터테인먼트
신세계,2013.2.21,"34,881,330,905","4,682,492",671,"90,580",한국,(주)넥스트엔터테인먼트월드(NEW)
박수건달,2013.1.9,"28,343,986,569","3,893,216",603,"60,585",한국,(주)쇼박스
스파이,2013.9.5,"24,509,278,305","3,435,802",785,"72,796","한국,태국",(주)씨제이이엔엠
그래비티,2013.10.17,"31,214,018,600","3,194,693",636,"80,584",미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
타워,2012.12.25,"22,996,601,500","3,166,425",638,"58,869",한국,(주)씨제이이엔엠
감기,2013.8.14,"21,774,884,000","3,117,859",806,"55,046",한국,아이러브시네마
토르: 다크 월드,2013.10.30,"22,525,808,500","3,039,889",733,"78,095",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
레드: 더 레전드,2013.7.18,"21,511,371,970","3,004,649",739,"55,733",미국,롯데쇼핑㈜롯데엔터테인먼트
친구 2,2013.11.14,"21,795,237,513","2,969,900",968,"69,856",한국,롯데쇼핑㈜롯데엔터테인먼트
어바웃 타임,2013.12.5,"20,908,973,000","2,856,065",568,"49,967",영국,유니버설픽쳐스인터내셔널 코리아(유)
나우 유 씨 미 : 마술사기단,2013.8.22,"19,146,691,869","2,718,227",691,"54,658",미국,롯데쇼핑㈜롯데엔터테인먼트
소원,2013.10.2,"18,529,862,600","2,711,083",651,"72,329",한국,롯데쇼핑㈜롯데엔터테인먼트
레미제라블,2012.12.19,"19,635,813,500","2,707,479",592,"49,348",미국,유니버설픽쳐스인터내셔널 코리아(유)
퍼시픽 림,2013.7.11,"20,477,374,512","2,539,113","1,005","55,655",미국,워너브러더스 코리아(주)
화이: 괴물을 삼킨 아이,2013.10.9,"17,695,412,795","2,394,453",817,"59,049",한국,(주)쇼박스
컨저링,2013.9.17,"16,353,225,777","2,262,758",563,"48,616",미국,워너브러더스 코리아(주)
맨 오브 스틸,2013.6.13,"17,092,964,063","2,182,227",998,"55,514",미국,워너브러더스 코리아(주)
용의자,2013.12.24,"15,629,492,500","2,176,752",807,"26,814",한국,(주)쇼박스
호빗: 스마우그의 폐허,2013.12.12,"16,564,184,549","2,115,878",811,"35,223","미국,뉴질랜드",워너브러더스 코리아(주)
몽타주,2013.5.16,"15,002,458,500","2,095,592",544,"53,195",한국,(주)넥스트엔터테인먼트월드(NEW)
