영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
하트 오브 더 씨,2015.12.3,"6,777,420,023","809,399",535,"29,219",미국,워너브러더스 코리아(주)
헝거게임: 더 파이널,2015.11.18,"6,069,167,163","806,520",661,"26,973",미국,롯데쇼핑㈜롯데엔터테인먼트
기술자들,2014.12.24,"6,241,817,635","786,257",481,"18,808",한국,롯데쇼핑㈜롯데엔터테인먼트
신데렐라,2015.3.19,"5,500,502,900","716,491",531,"27,508",미국,월트디즈니컴퍼니코리아(주)
픽셀,2015.7.16,"5,390,909,947","681,945",557,"21,307",미국,유니버설픽쳐스인터내셔널 코리아(유)
열정같은소리하고있네,2015.11.25,"4,758,959,902","654,102",566,"30,459",한국,(주)넥스트엔터테인먼트월드(NEW)
특종: 량첸살인기,2015.10.22,"4,754,763,118","616,481",776,"31,783",한국,롯데쇼핑㈜롯데엔터테인먼트
서부전선,2015.9.24,"4,751,661,400","609,063",509,"18,935",한국,롯데쇼핑㈜롯데엔터테인먼트
채피,2015.3.12,"4,620,380,654","573,661",536,"24,669",미국,유니버설픽쳐스인터내셔널 코리아(유)
극장판 요괴워치: 탄생의 비밀이다냥!,2015.7.22,"3,888,539,100","550,924",509,"11,765",일본,(주)씨제이이엔엠
헬머니,2015.3.5,"4,120,166,972","522,929",422,"24,846",한국,(주)넥스트엔터테인먼트월드(NEW)
도라에몽 : 스탠 바이 미,2015.2.12,"3,684,756,429","503,968",432,"13,063",일본,(주)넥스트엔터테인먼트월드(NEW)
위험한 상견례 2,2015.4.29,"3,575,384,754","472,693",429,"18,409",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트"
명탐정 코난 : 화염의 해바라기,2015.8.5,"3,296,031,400","471,205",433,"8,877",일본,(주)씨제이이엔엠
순수의 시대,2015.3.5,"3,740,948,828","469,891",546,"23,623",한국,(주)씨제이이엔엠
오피스,2015.9.3,"3,460,460,230","441,208",425,"18,575",한국,(주)리틀빅픽쳐스
"협녀, 칼의 기억",2015.8.13,"3,360,045,489","431,310",572,"16,099",한국,롯데쇼핑㈜롯데엔터테인먼트
어린왕자,2015.12.23,"3,195,586,794","428,855",494,"8,384",프랑스,씨네그루(주)다우기술
무뢰한,2015.5.27,"3,262,207,431","414,641",482,"23,660",한국,CGV아트하우스
판타스틱 4,2015.8.20,"3,029,310,600","399,667",451,"16,241",미국,이십세기폭스코리아(주)
뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"2,902,090,600","391,760",544,"10,893",한국,(주)넥스트엔터테인먼트월드(NEW)
내 심장을 쏴라,2015.1.28,"2,856,859,132","387,409",452,"20,042",한국,"(주)리틀빅픽쳐스,(주)이수C&E"
소수의견,2015.6.24,"2,892,681,205","383,582",398,"16,273",한국,(주)시네마서비스
그레이의 50가지 그림자,2015.2.26,"2,918,598,796","364,415",512,"19,227",미국,유니버설픽쳐스인터내셔널 코리아(유)
홈,2015.5.21,"2,693,335,391","360,742",532,"10,484",미국,(주)씨제이이엔엠
경성학교: 사라진 소녀들,2015.6.18,"2,749,609,100","356,415",489,"18,520",한국,롯데쇼핑㈜롯데엔터테인먼트
치외법권,2015.8.27,"2,664,941,005","346,483",446,"15,297",한국,판씨네마(주)
아메리칸 스나이퍼,2015.1.14,"2,800,001,438","344,766",308,"10,769",미국,워너브러더스 코리아(주)
에베레스트,2015.9.24,"3,055,119,748","332,180",331,"9,343","미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
호빗: 다섯 군대 전투,2014.12.17,"2,840,004,341","326,887",350,"7,347","미국,뉴질랜드",워너브러더스 코리아(주)
스폰지밥 3D,2015.2.18,"2,458,946,200","325,016",357,"8,415",미국,(주)씨제이이엔엠
극적인 하룻밤,2015.12.3,"2,610,567,429","320,884",434,"18,332",한국,CGV아트하우스
뮨: 달의 요정,2015.9.24,"2,333,203,700","319,384",365,"6,895",프랑스,"(주)스마일이엔티,씨네그루(주)다우기술"
도리화가,2015.11.25,"2,246,950,339","317,505",563,"19,168",한국,(주)씨제이이엔엠
이터널 선샤인,2005.11.10,"2,581,017,592","315,447",108,"8,891",미국,"(주)노바미디어,코리아픽쳐스(주)"
주피터 어센딩,2015.2.5,"2,687,549,879","309,842",561,"16,454",미국,워너브러더스 코리아(주)
패딩턴,2015.1.7,"2,246,438,729","305,102",408,"9,738","영국,프랑스,캐나다",롯데쇼핑㈜롯데엔터테인먼트
오즈의 마법사: 돌아온 도로시,2015.2.12,"2,176,416,000","298,482",330,"7,787",미국,(주)박수엔터테인먼트
런 올 나이트,2015.3.19,"2,293,671,495","289,534",411,"15,865",미국,워너브러더스 코리아(주)
다이노 타임,2015.4.30,"2,108,596,800","284,900",430,"6,713","한국,미국",(주)씨제이이엔엠
인서전트,2015.3.25,"2,158,449,889","282,662",480,"18,214",미국,롯데쇼핑㈜롯데엔터테인먼트
백 투 더 비기닝,2015.2.26,"2,018,287,400","266,610",423,"13,839",미국,롯데쇼핑㈜롯데엔터테인먼트
투모로우랜드,2015.5.27,"2,083,283,000","265,810",435,"14,640",미국,월트디즈니컴퍼니코리아(주)
스파이 브릿지,2015.11.5,"2,049,608,478","264,872",425,"12,434",미국,이십세기폭스코리아(주)
개를 훔치는 완벽한 방법,2014.12.31,"2,019,629,065","263,300",199,"8,008",한국,"(주)리틀빅픽쳐스,(주)대명문화공장"
함정,2015.9.10,"2,090,877,200","257,990",445,"10,899",한국,(주)인벤트스톤
