영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
남산의 부장들,2020.1.22,"41,225,216,650","4,750,345","1,659","140,051",한국,(주)쇼박스
다만 악에서 구하소서,2020.8.5,"38,602,260,990","4,357,803","1,998","193,842",한국,(주)씨제이이엔엠
반도,2020.7.15,"33,072,531,280","3,812,250","2,575","199,048",한국,(주)넥스트엔터테인먼트월드(NEW)
히트맨,2020.1.22,"20,614,278,000","2,406,232","1,122","87,782",한국,롯데컬처웍스(주)롯데엔터테인먼트
테넷,2020.8.26,"18,396,929,850","1,992,214","2,228","164,758",미국,워너브러더스 코리아(주)
백두산,2019.12.19,"16,921,016,530","1,962,407","1,241","74,413",한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
#살아있다,2020.6.24,"15,968,219,900","1,903,992","1,882","137,073",한국,롯데컬처웍스(주)롯데엔터테인먼트
강철비2: 정상회담,2020.7.29,"14,661,646,110","1,791,533","2,137","106,658",한국,롯데컬처웍스(주)롯데엔터테인먼트
담보,2020.9.29,"14,748,867,550","1,719,521","1,342","110,260",한국,(주)씨제이이엔엠
닥터 두리틀,2020.1.8,"13,449,206,760","1,607,082","1,290","68,634",미국,유니버설픽쳐스인터내셔널 코리아(유)
삼진그룹 영어토익반,2020.10.21,"13,981,414,470","1,571,286","1,615","139,275",한국,롯데컬처웍스(주)롯데엔터테인먼트
정직한 후보,2020.2.12,"12,854,297,030","1,538,038","1,187","89,425",한국,(주)넥스트엔터테인먼트월드(NEW)
도굴,2020.11.4,"13,764,680,410","1,523,514","1,635","133,284",한국,(주)씨제이이엔엠
클로젯,2020.2.5,"10,971,962,280","1,270,835","1,197","71,453",한국,(주)씨제이이엔엠
오케이 마담,2020.8.12,"10,981,600,110","1,228,968","1,288","82,969",한국,메가박스중앙(주)플러스엠
해치지않아,2020.1.15,"10,154,099,090","1,209,689","1,216","53,441",한국,(주)에이스메이커무비웍스
천문: 하늘에 묻는다,2019.12.26,"8,695,248,070","1,035,024",929,"43,246",한국,롯데컬처웍스(주)롯데엔터테인먼트
결백,2020.6.10,"7,859,629,340","894,025","1,112","74,532",한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
1917,2020.2.19,"7,924,722,960","877,017",932,"91,511",미국,(주)스마일이엔티
작은 아씨들,2020.2.12,"7,283,877,330","864,782","1,105","59,781",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
미드웨이,2019.12.31,"7,143,163,010","824,836",842,"32,902",미국,(주)누리픽쳐스
시동,2019.12.18,"6,876,716,560","792,493",825,"34,835",한국,(주)넥스트엔터테인먼트월드(NEW)
지푸라기라도 잡고 싶은 짐승들,2020.2.19,"5,457,014,750","628,977",996,"65,645",한국,메가박스중앙(주)플러스엠
미스터 주: 사라진 VIP,2020.1.22,"5,071,671,660","603,203",692,"28,187",한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
인비저블맨,2020.2.26,"5,015,895,060","575,043",776,"63,076",미국,유니버설픽쳐스인터내셔널 코리아(유)
