영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
나쁜 녀석들: 포에버,2020.1.15,"4,880,576,760","547,775",896,"29,888",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
국제수사,2020.9.29,"4,496,603,760","537,470","1,074","41,108",한국,(주)쇼박스
침입자,2020.6.4,"4,810,611,000","532,045","1,365","53,636",한국,(주)에이스메이커무비웍스
스타워즈: 라이즈 오브 스카이워커,2020.1.8,"4,704,790,210","507,265",957,"28,695",미국,월트디즈니컴퍼니코리아 유한책임회사
스파이 지니어스,2020.1.22,"3,699,691,180","450,932",712,"22,244",미국,월트디즈니컴퍼니코리아 유한책임회사
이웃사촌,2020.11.25,"3,647,897,960","424,764","1,363","65,450",한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
온워드: 단 하루의 기적,2020.6.17,"3,590,809,620","418,084","1,138","45,697",미국,월트디즈니컴퍼니코리아 유한책임회사
소리도 없이,2020.10.15,"3,558,905,900","403,424","1,084","41,127",한국,(주)에이스메이커무비웍스
버즈 오브 프레이(할리 퀸의 황홀한 해방),2020.2.5,"3,558,359,190","402,035",963,"38,319",미국,워너브러더스 코리아(주)
원더 우먼 1984,2020.12.23,"3,490,431,460","390,986","2,260","45,347",미국,워너브러더스 코리아(주)
겨울왕국 2,2019.11.21,"3,214,172,730","378,728",665,"16,777",미국,월트디즈니컴퍼니코리아 유한책임회사
오! 문희,2020.9.2,"2,802,734,600","351,730","1,110","52,239",한국,CGV아트하우스
그린랜드,2020.9.29,"2,777,724,520","325,869",779,"26,421",미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
위대한 쇼맨,2017.12.20,"1,897,251,570","306,419",598,"31,915",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
런,2020.11.20,"2,560,441,600","278,819",799,"38,957",미국,(주)올스타엔터테인먼트
뮬란,2020.9.17,"2,079,737,620","236,247","1,420","38,703",미국,월트디즈니컴퍼니코리아 유한책임회사
내가 죽던 날,2020.11.12,"2,135,396,020","233,112",909,"29,390",한국,워너브러더스 코리아(주)
기생충,2019.5.30,"1,576,539,450","227,870",456,"13,536",한국,(주)씨제이이엔엠
신비아파트 극장판 하늘도깨비 대 요르문간드,2019.12.19,"1,757,416,340","222,234",539,"8,629",한국,(주)씨제이이엔엠
프리즌 이스케이프,2020.5.6,"1,848,297,600","217,056",547,"29,305",영국,(주)이놀미디어
검객,2020.9.23,"1,619,781,870","190,237",832,"21,595",한국,"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
조제,2020.12.10,"1,673,427,570","186,647","1,179","38,291",한국,워너브러더스 코리아(주)
사라진 시간,2020.6.18,"1,652,522,580","185,802",874,"20,790",한국,(주)에이스메이커무비웍스
밤쉘: 세상을 바꾼 폭탄선언,2020.7.8,"1,544,025,340","182,026",882,"27,363",미국,(주)홈초이스
알라딘,2019.5.23,"1,205,410,680","171,494",549,"15,752",미국,월트디즈니컴퍼니코리아 유한책임회사
인셉션,2010.7.21,"1,380,782,440","163,630",241,"11,000",미국,"(주)디스테이션,워너브러더스 코리아(주)"
포드 V 페라리,2019.12.4,"1,474,949,540","162,730",204,"6,867",미국,월트디즈니컴퍼니코리아 유한책임회사
트롤: 월드 투어,2020.4.29,"1,170,580,320","152,589",344,"15,459",미국,유니버설픽쳐스인터내셔널 코리아(유)
미스터트롯: 더 무비,2020.10.22,"1,288,696,100","150,090",449,"15,980",한국,(주)영화사 그램
타오르는 여인의 초상,2020.1.16,"1,251,474,838","148,644",156,"7,626",프랑스,"그린나래미디어(주),(주)홈초이스"
나이브스 아웃,2019.12.4,"1,225,050,880","147,395",163,"6,812",미국,(주)올스타엔터테인먼트
라라랜드,2016.12.7,"828,981,420","140,437",387,"17,953",미국,판씨네마(주)
브레이크 더 사일런스: 더 무비,2020.9.24,"1,160,249,000","131,693",205,"10,604",한국,CGV ICECON
애니멀 크래커,2020.8.5,"1,028,859,740","129,688",473,"7,473",미국,(주)이수C&E
다크 워터스,2020.3.11,"1,101,919,740","127,902",575,"21,739",미국,(주)이수C&E
21 브릿지: 테러 셧다운,2020.1.1,"978,201,230","127,616",228,"7,686",미국,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020.8.20,"1,004,751,550","123,329",661,"13,299",일본,(주)씨제이이엔엠
수퍼 소닉,2020.2.12,"932,457,150","118,725",609,"11,143",미국,롯데컬처웍스(주)롯데엔터테인먼트
언힌지드,2020.10.7,"1,018,720,190","118,570",676,"19,770",미국,"(주)누리픽쳐스,(주)영화특별시에스엠씨"
조조 래빗,2020.2.5,"965,388,200","112,136",277,"9,147",미국,월트디즈니컴퍼니코리아 유한책임회사
언더워터,2020.5.27,"937,112,800","109,207",594,"18,257",미국,월트디즈니컴퍼니코리아 유한책임회사
디바,2020.9.23,"901,717,350","108,122",831,"18,923",한국,메가박스중앙(주)플러스엠
죽지않는 인간들의 밤,2020.9.29,"852,639,440","104,034",570,"12,667",한국,TCO(주)더콘텐츠온
저 산 너머,2020.4.30,"772,685,300","103,534",468,"13,037",한국,(주)리틀빅픽쳐스
기기괴괴 성형수,2020.9.9,"873,204,560","103,426",276,"13,517",한국,(주)트리플픽쳐스
패왕별희 디 오리지널,2017.3.30,"926,248,060","102,205",409,"11,661",중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020.9.29,"3,129,974,000","102,008",106,"4,771",한국,씨제이포디플렉스 주식회사
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020.9.30,"780,549,310","97,392",591,"7,752",일본,(주)이수C&E
주디,2020.3.25,"760,720,060","92,466",479,"17,214",영국,TCO(주)더콘텐츠온
레이니 데이 인 뉴욕,2020.5.6,"786,619,700","88,768",563,"16,054",미국,"그린나래미디어(주),(주)버킷스튜디오"
나의 청춘은 너의 것,2020.4.29,"718,942,500","84,847",533,"12,270",대만,"오드,(주)홈초이스"
소리꾼,2020.7.1,"670,872,680","82,600",573,"13,997",한국,(주)리틀빅픽쳐스
젠틀맨,2020.2.26,"665,658,710","81,482",586,"14,748",미국,"(주)영화사 빅,(주)다날엔터테인먼트"
에어로너츠,2020.6.10,"691,318,500","79,903",534,"11,550",영국,(주)홈초이스
극장판 미니특공대: 공룡왕 디노,2020.2.6,"620,860,720","79,772",485,"6,333",한국,(주)리틀빅픽쳐스
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020.10.22,"696,241,320","76,787",149,"5,615",일본,(주)애니플러스
소년시절의 너,2020.7.9,"622,230,500","73,541",252,"8,074",중국,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리"
빅샤크3: 젤리몬스터 대소동,2020.7.29,"562,559,660","72,912",400,"5,259",중국,(주)팝엔터테인먼트
엽문4: 더 파이널,2020.4.1,"630,556,300","72,886",206,"10,386",홍콩,(주)키다리이엔티
호텔 레이크,2020.4.29,"598,748,200","71,324",465,"9,682",한국,(주)스마일이엔티
프린스 코기,2019.12.24,"498,854,680","71,207",242,"2,179",벨기에,(주)이수C&E
눈의 여왕4,2019.12.24,"444,649,620","67,159",271,"2,239",러시아,(주)넥스트엔터테인먼트월드(NEW)
카페 벨에포크,2020.5.20,"550,495,880","66,078",463,"10,688",프랑스,(주)이수C&E
더 플랫폼,2020.5.13,"604,615,000","66,038",228,"9,706",스페인,(주)홈초이스
뉴 뮤턴트,2020.9.10,"546,115,880","61,897",817,"15,048",미국,월트디즈니컴퍼니코리아 유한책임회사
날씨의 아이,2019.10.30,"444,956,180","58,968",194,"5,921",일본,"메가박스중앙(주)플러스엠,(주)미디어캐슬,워터홀컴퍼니(주)"
해리포터와 아즈카반의 죄수,2004.7.16,"529,704,500","58,349",47,"3,414",미국,워너브러더스 코리아(주)
극장판 미니특공대: 햄버거괴물의 습격,2020.9.30,"465,849,080","57,857",414,"5,084",한국,(주)리틀빅픽쳐스
마이 스파이,2020.4.29,"482,594,500","56,282",240,"7,466",미국,(주)이수C&E
더 프린세스 : 도둑맞은 공주,2020.8.12,"457,449,660","55,828",423,"4,192",우크라이나,(주)팝엔터테인먼트
극장판 바이올렛 에버가든,2020.11.12,"467,986,490","55,030",131,"5,063",일본,(주)라이크콘텐츠
나의 첫 번째 슈퍼스타,2020.6.10,"474,367,360","53,748",462,"8,832",미국,유니버설픽쳐스인터내셔널 코리아(유)
위플래쉬,2015.3.12,"473,128,620","53,336",482,"8,264",미국,"워터홀컴퍼니(주),(주)쇼박스"
프리키 데스데이,2020.11.25,"451,225,690","51,812",631,"12,882",미국,유니버설픽쳐스인터내셔널 코리아(유)
다크 나이트,2008.8.6,"407,193,640","51,681",378,"4,445",미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
