영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
투어리스트,2010.12.9,"6,728,872,000","901,843",418,"26,842",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
스카이 라인,2010.11.24,"6,320,601,500","860,340",427,"31,690",미국,(주)화앤담이엔티
고死 두 번째 이야기: 교생실습,2010.7.28,"5,802,318,000","857,038",313,"23,307",한국,(주)넥스트엔터테인먼트월드(NEW)
A-특공대,2010.6.10,"5,795,794,000","777,985",323,"26,460",미국,이십세기폭스코리아(주)
주유소 습격사건 2,2010.1.21,"5,379,208,500","729,834",315,"27,844",한국,(주)시네마서비스
마음이2,2010.7.21,"4,631,432,000","696,382",262,"20,458",한국,롯데쇼핑㈜롯데엔터테인먼트
내 깡패 같은 애인,2010.5.20,"5,028,520,000","688,639",265,"25,806",한국,롯데쇼핑㈜롯데엔터테인먼트
스텝 업 3D,2010.8.5,"7,345,439,000","671,845",250,"14,805",미국,(주)화앤담이엔티
하늘에서 음식이 내린다면,2010.2.11,"5,413,862,500","654,510",282,"16,556",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
새미의 어드벤쳐,2010.12.15,"6,108,607,500","647,860",309,"14,302",벨기에,CJ ENM
오션스,2010.7.28,"4,403,647,500","640,632",212,"14,915",프랑스,롯데쇼핑㈜롯데엔터테인먼트
명탐정 코난: 천공의 난파선,2010.7.21,"4,002,088,500","618,420",235,"11,902",일본,에이원엔터테인먼트
이층의 악당,2010.11.24,"4,271,750,500","596,851",379,"26,998",한국,(주)싸이더스
그린 존,2010.3.25,"4,460,075,000","596,403",268,"27,563",미국,(주)싸이더스
반가운 살인자,2010.4.8,"4,285,830,500","590,531",264,"29,724",한국,롯데쇼핑㈜롯데엔터테인먼트
레터스 투 줄리엣,2010.10.6,"4,270,689,500","582,958",283,"28,683",미국,(주)넥스트엔터테인먼트월드(NEW)
퀴즈왕,2010.9.16,"4,188,846,000","573,001",321,"23,579",한국,(주)시네마서비스
마법사의 제자,2010.7.21,"4,057,522,000","570,775",300,"19,017",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
라스트 갓파더,2010.12.29,"3,953,691,500","543,544",493,"8,275",한국,CJ ENM
