영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
명량,2014.7.30,"135,748,398,910","17,613,682","1,587","188,611",한국,(주)씨제이이엔엠
겨울왕국,2014.1.16,"82,461,504,400","10,296,101","1,010","157,683",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
인터스텔라,2014.11.6,"80,671,424,300","10,105,247","1,410","166,218",미국,워너브러더스 코리아(주)
해적: 바다로 간 산적,2014.8.6,"66,370,682,706","8,666,046",910,"133,350",한국,롯데쇼핑㈜롯데엔터테인먼트
수상한 그녀,2014.1.22,"62,705,348,249","8,657,982","1,027","136,975",한국,(주)씨제이이엔엠
변호인,2013.12.18,"41,918,383,800","5,687,571",925,"97,261",한국,(주)넥스트엔터테인먼트월드(NEW)
국제시장,2014.12.17,"41,089,567,596","5,345,677",966,"63,603",한국,(주)씨제이이엔엠
트랜스포머: 사라진 시대,2014.6.25,"44,012,752,845","5,295,836","1,602","107,875",미국,(주)씨제이이엔엠
군도: 민란의 시대,2014.7.23,"36,988,022,499","4,774,931","1,394","67,237",한국,(주)쇼박스
엣지 오브 투모로우,2014.6.4,"38,732,961,201","4,699,307",801,"94,559",미국,워너브러더스 코리아(주)
엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,"34,654,558,766","4,313,871","1,056","82,722",미국,이십세기폭스코리아(주)
어메이징 스파이더맨 2,2014.4.23,"34,869,101,800","4,168,353","1,312","91,715",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
타짜-신의 손,2014.9.3,"32,373,120,927","4,015,361",890,"80,584",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
혹성탈출: 반격의 서막,2014.7.10,"31,514,053,095","4,002,560",956,"72,881",미국,이십세기폭스코리아(주)
캡틴 아메리카: 윈터 솔져,2014.3.26,"31,711,040,385","3,963,251","1,106","110,109",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
역린,2014.4.30,"29,894,266,890","3,849,552","1,054","83,296",한국,롯데쇼핑㈜롯데엔터테인먼트
"님아, 그 강을 건너지 마오",2014.11.27,"29,845,829,479","3,846,378",806,"67,170",한국,"CGV아트하우스,(주)대명문화공장"
신의 한 수,2014.7.3,"28,812,027,456","3,566,852",794,"77,109",한국,(주)쇼박스
끝까지 간다,2014.5.29,"27,007,303,900","3,450,305",645,"84,875",한국,(주)쇼박스
비긴 어게인,2014.8.13,"27,098,834,504","3,427,524",525,"82,684",미국,판씨네마(주)
드래곤 길들이기 2,2014.7.23,"23,979,935,189","3,000,056",829,"51,924",미국,(주)씨제이이엔엠
표적,2014.4.30,"22,256,769,300","2,841,828",716,"72,255",한국,(주)씨제이이엔엠
메이즈 러너,2014.9.18,"21,489,367,677","2,812,427",655,"71,048",미국,이십세기폭스코리아(주)
호빗: 다섯 군대 전투,2014.12.17,"21,428,483,344","2,509,887",926,"43,833",미국,워너브러더스 코리아(주)
