영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
나의 사랑 나의 신부,2014.10.8,"16,636,404,305","2,141,155",629,"69,681",한국,씨네그루(주)다우기술
논스톱,2014.2.27,"16,066,549,940","2,084,482",582,"58,217",미국,(주)넥스트엔터테인먼트월드(NEW)
인투 더 스톰,2014.8.28,"16,157,166,332","2,078,698",585,"45,899",미국,워너브러더스 코리아(주)
노아,2014.3.20,"15,514,373,500","2,026,594",952,"56,722",미국,(주)씨제이이엔엠
남자가 사랑할 때,2014.1.22,"14,510,222,300","1,979,311",531,"41,123",한국,(주)넥스트엔터테인먼트월드(NEW)
루시,2014.9.3,"16,468,076,039","1,974,893",641,"44,585",미국,유니버설픽쳐스인터내셔널 코리아(유)
용의자,2013.12.24,"14,408,028,500","1,954,586",618,"42,310",한국,(주)쇼박스
기술자들,2014.12.24,"13,652,480,148","1,778,083",641,"24,416",한국,롯데쇼핑㈜롯데엔터테인먼트
나를 찾아줘,2014.10.23,"14,017,716,731","1,764,233",689,"50,846",미국,이십세기폭스코리아(주)
제보자,2014.10.2,"13,515,762,802","1,755,181",676,"58,358",한국,메가박스중앙(주)플러스엠
피끓는 청춘,2014.1.22,"11,688,382,888","1,676,040",679,"36,082",한국,롯데쇼핑㈜롯데엔터테인먼트
두근두근 내 인생,2014.9.3,"12,291,081,634","1,624,601",629,"40,158",한국,(주)씨제이이엔엠
우아한 거짓말,2014.3.13,"11,728,460,300","1,619,188",573,"57,492",한국,CGV아트하우스
300: 제국의 부활,2014.3.6,"13,395,159,700","1,593,116",720,"54,902",미국,워너브러더스 코리아(주)
엑소더스: 신들과 왕들,2014.12.3,"12,442,681,926","1,511,195",865,"43,742",미국,이십세기폭스코리아(주)
해무(海霧),2014.8.13,"11,706,782,519","1,475,507",584,"33,490",한국,(주)넥스트엔터테인먼트월드(NEW)
인간중독,2014.5.14,"11,284,912,400","1,441,973",682,"44,057",한국,(주)넥스트엔터테인먼트월드(NEW)
말레피센트,2014.5.29,"10,776,965,900","1,397,526",554,"38,894",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
폼페이: 최후의 날,2014.2.20,"10,303,127,700","1,373,873",561,"43,288",미국,롯데쇼핑㈜롯데엔터테인먼트
퓨리,2014.11.20,"10,367,640,686","1,362,114",590,"37,155",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
드라큘라: 전설의 시작,2014.10.8,"10,607,703,908","1,321,751",477,"46,483",미국,유니버설픽쳐스인터내셔널 코리아(유)
가디언즈 오브 갤럭시,2014.7.31,"11,098,239,184","1,311,190",539,"22,417",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
찌라시: 위험한 소문,2014.2.20,"9,111,748,087","1,221,427",560,"37,426",한국,(주)씨제이이엔엠
빅매치,2014.11.27,"8,952,096,578","1,177,438",627,"38,527",한국,(주)넥스트엔터테인먼트월드(NEW)
슬로우 비디오,2014.10.2,"8,913,092,219","1,169,562",618,"40,665",한국,이십세기폭스코리아(주)
방황하는 칼날,2014.4.10,"7,828,891,800","989,906",594,"38,850",한국,(주)씨제이이엔엠
로보캅,2014.2.13,"7,299,641,958","979,509",627,"29,686",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
우리는 형제입니다,2014.10.23,"7,263,255,399","970,373",566,"41,638",한국,(주)쇼박스
애나벨,2014.10.2,"7,083,492,943","926,027",464,"29,000",미국,워너브러더스 코리아(주)
헝거게임: 모킹제이,2014.11.20,"6,400,058,044","854,377",630,"28,796",미국,롯데쇼핑㈜롯데엔터테인먼트
월터의 상상은 현실이 된다,2013.12.31,"6,134,220,799","834,348",373,"22,938",미국,"글뫼 주식회사,이십세기폭스코리아(주)"
카트,2014.11.13,"5,912,676,633","812,490",544,"28,547",한국,(주)리틀빅픽쳐스
관능의 법칙,2014.2.13,"5,858,771,500","781,516",591,"30,630",한국,롯데쇼핑㈜롯데엔터테인먼트
그랜드 부다페스트 호텔,2014.3.20,"6,019,756,082","774,699",241,"26,377",미국,"(주)피터팬픽쳐스,이십세기폭스코리아(주)"
리오 2,2014.5.1,"5,669,231,900","765,961",598,"14,929",미국,이십세기폭스코리아(주)
"안녕, 헤이즐",2014.8.13,"5,833,905,000","749,146",326,"17,946",미국,이십세기폭스코리아(주)
고질라,2014.5.15,"5,972,847,963","709,734",610,"25,335",미국,워너브러더스 코리아(주)
트랜센던스,2014.5.14,"5,478,536,500","696,436",417,"23,243",미국,롯데쇼핑㈜롯데엔터테인먼트
상의원,2014.12.24,"5,293,724,564","676,632",466,"13,809",한국,"(주)쇼박스,(주)와우픽쳐스"
플랜맨,2014.1.9,"4,528,561,558","632,299",458,"20,459",한국,롯데쇼핑㈜롯데엔터테인먼트
우는 남자,2014.6.4,"4,924,852,800","603,495",508,"22,322",한국,(주)씨제이이엔엠
타잔 3D,2014.1.9,"4,452,845,000","597,142",527,"12,994",독일,(주)싸이더스
패션왕,2014.11.6,"4,367,545,379","594,871",523,"25,487",한국,(주)넥스트엔터테인먼트월드(NEW)
황제를 위하여,2014.6.11,"4,754,501,771","592,435",423,"26,736",한국,유나이티드픽처스(주)
더 울프 오브 월스트리트,2014.1.9,"4,490,682,000","585,082",395,"13,735",미국,주식회사 우리네트웍스
스텝 업: 올 인,2014.9.3,"4,337,490,134","564,589",325,"15,372",미국,(주)나이너스엔터테인먼트
어바웃 타임,2013.12.5,"4,077,030,200","536,634",282,"12,323",영국,유니버설픽쳐스인터내셔널 코리아(유)
몬스터,2014.3.13,"4,138,207,515","526,557",527,"25,460",한국,롯데쇼핑㈜롯데엔터테인먼트
눈의 여왕 2: 트롤의 마법거울,2014.12.24,"3,623,421,700","498,320",479,"6,508",러시아,씨네그루(주)다우기술
노예 12년,2014.2.27,"3,644,423,700","498,043",326,"19,373",미국,"판씨네마(주),(주)프레인글로벌"
또 하나의 약속,2014.2.6,"3,533,799,400","497,613",192,"14,847",한국,영화사올(주)
엔더스 게임,2013.12.31,"3,695,768,000","487,679",458,"18,384",미국,롯데쇼핑㈜롯데엔터테인먼트
소녀괴담,2014.7.2,"3,554,806,054","481,696",455,"19,432",한국,(주)리틀빅픽쳐스
조선미녀삼총사,2014.1.29,"3,471,341,321","480,361",388,"14,031",한국,(주)쇼박스
넛잡: 땅콩 도둑들,2014.1.29,"3,283,691,800","478,993",382,"10,817",한국,(주)싸이더스
마담 뺑덕,2014.10.2,"3,728,980,590","471,172",536,"21,636",한국,(주)씨제이이엔엠
썬더와 마법저택,2013.12.24,"3,004,330,500","444,848",396,"9,501",벨기에,(주)씨제이이엔엠
신이 보낸 사람,2014.2.13,"3,068,195,600","424,258",285,"12,684",한국,"주식회사 마운틴픽쳐스,(주)마인스 엔터테인먼트"
다이버전트,2014.4.16,"3,297,769,011","424,045",511,"21,396",미국,롯데쇼핑㈜롯데엔터테인먼트
주온 : 끝의 시작,2014.7.16,"3,071,127,231","410,644",394,"15,339",일본,(주)넥스트엔터테인먼트월드(NEW)
좋은 친구들,2014.7.10,"3,222,101,031","407,228",371,"17,831",한국,(주)씨제이이엔엠
닌자터틀,2014.8.28,"3,321,120,147","400,329",479,"15,188",미국,(주)씨제이이엔엠
명탐정 코난 : 이차원의 저격수,2014.8.6,"2,768,375,000","398,606",299,"6,834",일본,(주)씨제이이엔엠
나의 독재자,2014.10.30,"2,906,674,546","385,932",654,"24,217",한국,롯데쇼핑㈜롯데엔터테인먼트
천재 강아지 미스터 피바디,2014.4.24,"2,859,791,400","385,552",533,"10,520",미국,(주)씨제이이엔엠
그녀,2014.5.22,"2,858,143,500","350,618",168,"9,980",미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)"
하이힐,2014.6.3,"2,750,311,500","341,634",385,"16,750",한국,롯데쇼핑㈜롯데엔터테인먼트
선 오브 갓,2014.4.10,"2,393,896,300","329,252",419,"15,313",미국,(주)프레인글로벌
잭 라이언 : 코드네임 쉐도우,2014.1.16,"2,395,391,500","327,589",419,"12,908",미국,(주)씨제이이엔엠
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014.1.9,"2,080,468,500","320,409",406,"8,363",일본,(주)씨제이이엔엠
숲속으로,2014.12.24,"2,409,562,888","317,406",356,"7,709",미국,월트디즈니컴퍼니코리아(주)
레드카펫,2014.10.23,"2,405,669,580","316,953",385,"17,696",한국,(주)프레인글로벌
미녀와 야수,2014.6.18,"2,393,617,300","316,332",387,"15,414",프랑스,(주)넥스트엔터테인먼트월드(NEW)
비행기 2: 소방구조대,2014.8.13,"2,246,970,700","311,456",341,"6,562",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
프랑켄슈타인: 불멸의 영웅,2014.2.6,"2,175,466,123","299,205",378,"12,113",미국,(주)쇼박스
"러브, 로지",2014.12.10,"2,223,782,646","292,177",379,"11,935",영국,(주)넥스트엔터테인먼트월드(NEW)
