영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
부산행,2016.7.20,"93,178,283,048","11,565,479","1,788","151,315",한국,(주)넥스트엔터테인먼트월드(NEW)
검사외전,2016.2.3,"77,320,403,264","9,707,581","1,812","153,532",한국,(주)쇼박스
캡틴 아메리카: 시빌 워,2016.4.27,"72,672,111,827","8,677,249","1,991","161,696",미국,월트디즈니컴퍼니코리아(주)
밀정,2016.9.7,"61,269,783,831","7,500,420","1,444","138,161",한국,워너브러더스 코리아(주)
터널,2016.8.10,"57,529,484,417","7,120,508","1,105","113,201",한국,(주)쇼박스
인천상륙작전,2016.7.27,"55,101,410,303","7,049,643","1,049","97,019",한국,(주)씨제이이엔엠
럭키,2016.10.13,"56,444,461,256","6,975,290","1,234","155,977",한국,(주)쇼박스
곡성,2016.5.12,"55,863,520,382","6,879,908","1,485","130,322",한국,이십세기폭스코리아(주)
덕혜옹주,2016.8.3,"44,393,828,109","5,599,229",964,"97,312",한국,롯데쇼핑㈜롯데엔터테인먼트
닥터 스트레인지,2016.10.26,"47,481,830,396","5,446,239","1,503","162,856",미국,월트디즈니컴퍼니코리아(주)
마스터,2016.12.21,"39,784,641,065","4,935,320","1,501","70,786",한국,(주)씨제이이엔엠
주토피아,2016.2.17,"37,096,057,742","4,706,158",735,"131,005",미국,월트디즈니컴퍼니코리아(주)
신비한 동물사전,2016.11.16,"39,300,515,858","4,662,534","1,431","115,676",미국,워너브러더스 코리아(주)
판도라,2016.12.7,"33,955,398,164","4,313,864","1,184","90,758",한국,(주)넥스트엔터테인먼트월드(NEW)
아가씨,2016.6.1,"35,211,229,991","4,287,839","1,171","90,365",한국,(주)씨제이이엔엠
쿵푸팬더3,2016.1.28,"31,340,798,156","3,984,812","1,365","97,404",미국,(주)씨제이이엔엠
귀향,2016.2.24,"27,249,738,990","3,587,173",876,"90,286",한국,(주)와우픽쳐스
데드풀,2016.2.17,"27,595,618,651","3,317,196","1,036","82,521",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
나우 유 씨 미 2,2016.7.13,"25,116,690,113","3,100,113","1,200","56,981",미국,롯데쇼핑㈜롯데엔터테인먼트
형,2016.11.23,"23,113,768,293","2,979,659",993,"83,518",한국,(주)씨제이이엔엠
엑스맨: 아포칼립스,2016.5.25,"24,467,887,950","2,938,818","1,262","66,471",미국,이십세기폭스코리아(주)
미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586","2,718,158",904,"70,451",미국,이십세기폭스코리아(주)
히말라야,2015.12.16,"20,705,587,567","2,630,352",955,"61,673",한국,(주)씨제이이엔엠
제이슨 본,2016.7.27,"21,253,434,663","2,611,966",827,"39,806",미국,유니버설픽쳐스인터내셔널 코리아(유)
도리를 찾아서,2016.7.6,"20,703,899,933","2,601,734","1,091","55,110",미국,월트디즈니컴퍼니코리아(주)
아수라,2016.9.28,"20,576,226,662","2,594,028","1,278","68,040",한국,(주)씨제이이엔엠
정글북,2016.6.9,"21,517,647,134","2,537,438",924,"59,041",미국,월트디즈니컴퍼니코리아(주)
마이펫의 이중생활,2016.8.3,"19,406,436,655","2,520,670",726,"39,653",미국,유니버설픽쳐스인터내셔널 코리아(유)
라라랜드,2016.12.7,"19,996,139,232","2,385,108",727,"56,408",미국,판씨네마(주)
배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,906,246,428","2,256,913","1,709","95,669",미국,워너브러더스 코리아(주)
굿바이 싱글,2016.6.29,"16,912,706,195","2,108,273",841,"56,380",한국,(주)쇼박스
봉이 김선달,2016.7.6,"16,227,052,642","2,051,277",942,"51,418",한국,(주)씨제이이엔엠
레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,360,130","2,007,188",967,"55,063",미국,이십세기폭스코리아(주)
컨저링 2,2016.6.9,"15,759,374,229","1,928,605",640,"45,816",미국,워너브러더스 코리아(주)
내부자들: 디 오리지널,2015.12.31,"15,742,927,260","1,924,720",838,"45,697",한국,(주)쇼박스
수어사이드 스쿼드,2016.8.3,"15,874,111,188","1,898,220",823,"29,512",미국,워너브러더스 코리아(주)
인디펜던스 데이 : 리써전스,2016.6.22,"12,770,879,840","1,500,830",926,"47,432",미국,이십세기폭스코리아(주)
탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845","1,430,885",764,"41,076",한국,(주)씨제이이엔엠
벤허,2016.9.14,"11,410,860,395","1,400,301",717,"38,941",미국,롯데쇼핑㈜롯데엔터테인먼트
굿 다이노,2016.1.7,"9,756,167,238","1,328,913",814,"33,127",미국,월트디즈니컴퍼니코리아(주)
셜록: 유령신부,2016.1.2,"9,992,425,049","1,278,894",891,"32,683",영국,메가박스중앙(주)플러스엠
특별수사: 사형수의 편지,2016.6.16,"9,929,947,065","1,241,899",691,"39,372",한국,(주)넥스트엔터테인먼트월드(NEW)
시간이탈자,2016.4.13,"9,731,838,195","1,202,384",733,"55,075",한국,(주)씨제이이엔엠
동주,2016.2.17,"8,889,077,089","1,172,641",543,"39,958",한국,메가박스중앙(주)플러스엠
워크래프트: 전쟁의 서막,2016.6.9,"10,142,271,205","1,163,274",736,"34,087",미국,유니버설픽쳐스인터내셔널 코리아(유)
